logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000029919	0.321696392649036	7.29809305530713	11.0953950769667	2.63074166198226e-28	1.00885832209163e-25	53.3813640701232
ENSMUSG00000023156	-0.157897554904157	7.30446622460078	-11.0937034159517	2.67987562789974e-28	1.00885832209163e-25	53.3645454423017
ENSMUSG00000022387	0.31171081814929	6.96402500101433	10.7653509871878	9.25000124674688e-27	3.38550045630936e-24	49.8664668941306
ENSMUSG00000034518	0.405424585720178	7.3556629047462	10.7353230673758	1.2723961098833e-26	4.53110571454658e-24	49.5703476716307
ENSMUSG00000009079	0.249715875818389	7.30555306062872	10.6639681971317	2.70538391508853e-26	9.38056275400172e-24	48.8285921389747
ENSMUSG00000047714	-0.166080161714154	7.55335597654537	-10.6584933748058	2.86602515660098e-26	9.68275575983961e-24	48.6890800324503
ENSMUSG00000028331	0.369371887501195	7.13414415614692	10.6134816375535	4.60023487255686e-26	1.51531736702023e-23	48.3003641793135
ENSMUSG00000045639	0.33899896040946	7.15268280868136	10.5910577344228	5.81901892834396e-26	1.87003398536244e-23	48.0681947148902
ENSMUSG00000027884	0.234397903582279	7.03379503754351	10.5810983430507	6.45829569730823e-26	2.0260596216127e-23	47.9559474988846
ENSMUSG00000053925	0.358391371388105	7.45171463531882	10.5045491446896	1.43454426271935e-25	4.39571051292793e-23	47.1842720127436
ENSMUSG00000067567	0.323503447594718	6.8788430254126	10.4981887734017	1.53251713025044e-25	4.5891922064045e-23	47.1164813279718
ENSMUSG00000054021	0.420038960844796	7.22836131407856	10.4848499641874	1.76004162266564e-25	5.153401871165e-23	46.9875246092895
ENSMUSG00000028641	0.262628371226461	7.25533919893128	10.4527933417391	2.45304901651041e-25	7.02638561772633e-23	46.6611601970011
ENSMUSG00000039934	0.371227327912479	7.02900738724592	10.4443656791072	2.67634902514167e-25	7.50288824580141e-23	46.5697105767221
ENSMUSG00000009092	-0.35554061752666	6.92901759810034	-10.425602474629	3.24846286550586e-25	8.91703056581359e-23	46.3767282095094
ENSMUSG00000022146	0.305263110473343	6.80393380787123	10.3819000645746	5.09434256495682e-25	1.36985831909941e-22	45.9418104145892
ENSMUSG00000005483	-0.18848391413616	6.51463908821809	-10.3414316262976	7.71519835098713e-25	2.03310906945213e-22	45.5343436636962
ENSMUSG00000017264	0.259974196178337	6.87068183717586	10.3263921832615	8.9984567980985e-25	2.32477777983815e-22	45.3808046466943
ENSMUSG00000089862	-0.352644519932491	7.33871402217932	-10.3180538399685	9.79887274754069e-25	2.48288360233839e-22	45.296901710315
ENSMUSG00000025869	-0.406231599047828	7.00495062568314	-10.3130128101304	1.03165868464829e-24	2.56474242055205e-22	45.2472046571256
ENSMUSG00000018541	0.271268461362618	6.60779994076296	10.3036328301067	1.13530954012978e-24	2.77015527791666e-22	45.158632772511
ENSMUSG00000023723	-0.531555502261981	7.00628671501062	-10.2923312157263	1.27398124803197e-24	3.05199580437624e-22	45.0449986581028
ENSMUSG00000000682	0.198013996636955	7.30289144614268	10.2865842932152	1.35080656031877e-24	3.1782548640643e-22	44.9883845904078
ENSMUSG00000047090	0.231622866106862	7.3193852436062	10.2327549679202	2.33419232446248e-24	5.39566983633642e-22	44.4513612844556
ENSMUSG00000024621	0.545195443308811	7.02925116668374	10.1876970585552	3.68186301854098e-24	8.36417709177516e-22	44.0041159820156
ENSMUSG00000022070	0.346471875727413	7.3326925627936	10.1844168834653	3.80578811284755e-24	8.49916341947107e-22	43.9697156727351
ENSMUSG00000102215	-0.527090436475799	7.20568621653619	-10.1814924021381	3.91975473516677e-24	8.58500307782378e-22	43.9400051267687
ENSMUSG00000098027	-0.240336218282561	7.38214090769422	-10.1801164586332	3.97453846195545e-24	8.58500307782378e-22	43.915730610054
ENSMUSG00000003849	-0.306404326334947	6.82825560334516	-10.159723634066	4.88128883818003e-24	1.03735260857839e-21	43.7226267611836
ENSMUSG00000040084	0.318595580770042	7.00459923049503	10.1429864940069	5.77639827998862e-24	1.20809244027191e-21	43.5576652693411
