logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000005357	0.119153165320972	7.21716551198907	9.74494036934214	3.36836142599693e-22	1.20179590035964e-19	39.5798344520018
ENSMUSG00000102340	0.125314746392458	7.43134959281942	9.74557247380531	3.34793447568111e-22	1.20179590035964e-19	39.4441420372331
ENSMUSG00000092384	-0.224720511991731	7.19170536212364	-9.71849839434353	4.34293520933169e-22	1.47203788920298e-19	39.3316580835737
ENSMUSG00000037415	-0.0886531853501245	7.47155413058639	-9.72783965388379	3.97032829525412e-22	1.38024900069373e-19	39.163989749573
ENSMUSG00000048965	0.120879050032161	7.19850334410613	9.69692536022391	5.34094539445012e-22	1.76615945507207e-19	39.1272888288243
ENSMUSG00000024150	0.251127504329012	6.56539478529092	9.64826445919758	8.50290204750076e-22	2.74481776095274e-19	38.6506753943632
ENSMUSG00000021179	0.240896036823891	6.82855502128026	9.53836684595911	2.41078738015441e-21	7.60126867444964e-19	37.6097369642919
ENSMUSG00000048234	0.478064991342752	7.1559450479255	9.52327089701737	2.77939076605041e-21	8.56431363775262e-19	37.5117527048424
ENSMUSG00000051316	0.366158971358856	6.6462916557989	9.49028112993399	3.79021997110722e-21	1.14195116373937e-18	37.18776122802
ENSMUSG00000026104	0.450726527225797	6.8254939579713	9.4192908148788	7.36328225964875e-21	2.17024741035473e-18	36.5345462925201
ENSMUSG00000031442	-0.232068394896571	6.76784083487569	-9.41416379893298	7.7236411497674e-21	2.22387912859476e-18	36.4781655708784
ENSMUSG00000032637	-0.0581105175229757	7.390610270574	-9.41210374623787	7.87329976195223e-21	2.22387912859476e-18	36.3682806762275
ENSMUSG00000032870	0.263448661624104	6.48457625836384	9.39214767178214	9.47999242997821e-21	2.57059474731289e-18	36.3062664371329
ENSMUSG00000048281	0.340517331233912	6.92364396459714	9.39413991550726	9.30601326323188e-21	2.57059474731289e-18	36.3006111178442
ENSMUSG00000035206	-0.203276806804139	7.05337060226449	-9.3789052613065	1.07210634058963e-20	2.85012113053219e-18	36.1786318606693
ENSMUSG00000052584	0.200344463881323	6.70712792984204	9.36178884151785	1.25659060085899e-20	3.21450101253701e-18	36.0102574758711
ENSMUSG00000027678	-0.0889079751595672	7.37382144201852	-9.36940462311128	1.17091969184448e-20	3.05294791962065e-18	35.9914861258863
ENSMUSG00000055430	0.199602354395132	7.18841976488797	9.34783992839565	1.42988710045076e-20	3.55810643051186e-18	35.9123112750299
ENSMUSG00000045284	0.181544524941661	7.1334525612042	9.34682378863518	1.44339765214746e-20	3.55810643051186e-18	35.8945825307386
ENSMUSG00000030815	-0.323345668830161	7.04978985710327	-9.32855448097097	1.70901638766358e-20	4.13765074713264e-18	35.7311567642092
ENSMUSG00000011179	0.386725591306384	6.80074437612738	9.30105803144061	2.20244201033362e-20	5.14839806484538e-18	35.4644642227678
ENSMUSG00000031858	-0.0569392140003755	7.44621464385286	-9.30641468617395	2.09637107543525e-20	4.98642088434229e-18	35.298033338717
ENSMUSG00000040331	0.152506716947935	6.73913392356171	9.2668953080312	3.01540197294661e-20	6.81380332486835e-18	35.1553436394709
ENSMUSG00000064917	-0.294891924588192	7.23214344672363	-9.25301876701407	3.42477194900105e-20	7.61197673517315e-18	35.0480892689598
ENSMUSG00000021819	-0.0504003428110762	7.45923529125155	-9.28134321009132	2.64058340157047e-20	6.0679711455072e-18	35.0434307656315
ENSMUSG00000024425	0.266412098127109	6.88801732206921	9.25110086337103	3.48551372915051e-20	7.62203147416494e-18	35.0113380497415
ENSMUSG00000005873	0.261674999553164	6.58172231001009	9.24235340861889	3.77634313831916e-20	8.12693020148113e-18	34.9512881169967
ENSMUSG00000022151	0.173016724025948	6.56996787963646	9.22258515583014	4.52493501094707e-20	9.58579201225319e-18	34.7748496560329
ENSMUSG00000042873	0.169309038246577	6.73176370821445	9.1936255612545	5.89368086610925e-20	1.21070492701075e-17	34.5038083828608
ENSMUSG00000079614	0.137183009483974	7.34570612172194	9.19418563659613	5.86367785359706e-20	1.21070492701075e-17	34.4753599864164
ENSMUSG00000028669	0.246483228888137	6.89677151934293	9.18579917931049	6.32916609702623e-20	1.28075871557435e-17	34.4302908111977
ENSMUSG00000028268	0.552861216735065	6.85081821843478	9.18256251300864	6.51842972444998e-20	1.29965985594254e-17	34.4187532798093
ENSMUSG00000005370	0.393548102678148	6.76869928830515	9.15220505488962	8.58931560272034e-20	1.68773827451714e-17	34.1411608770855
