logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000026283	0.333128458206324	7.35440297275871	6.80658704264563	1.17054329005012e-11	3.31662233906329e-09	15.994587377731
ENSMUSG00000103103	-0.158592127115898	7.47880310006553	-6.78725183525671	1.33626264070852e-11	3.68990801787494e-09	15.8310443764073
ENSMUSG00000022024	-0.367585741642595	6.91855890638379	-6.78196820091372	1.38541263718365e-11	3.68990801787494e-09	15.8114080857233
ENSMUSG00000000301	0.186920873427347	7.58357090313037	6.78356511939958	1.37037376315567e-11	3.68990801787494e-09	15.7721342566797
ENSMUSG00000003662	-0.303325459500059	7.36124465278246	-6.77175141864174	1.48552779340419e-11	3.87897522054188e-09	15.7632553798532
ENSMUSG00000046834	-0.21776351574883	7.30340981234993	-6.73490378533833	1.9090235175927e-11	4.79669173278905e-09	15.5367633909054
ENSMUSG00000056069	0.303707818110616	7.27501446888117	6.73694549129072	1.8827386633709e-11	4.79669173278905e-09	15.5237356550235
ENSMUSG00000038500	0.373732228451951	7.27118980293077	6.73097809199995	1.96057666450131e-11	4.83499989651185e-09	15.4869671892341
ENSMUSG00000099034	-0.234859976361036	7.22683346128309	-6.72341952249687	2.06370670035052e-11	4.93327143350804e-09	15.4581306331493
ENSMUSG00000033624	0.289903891852033	7.44862608369665	6.7174698441408	2.14860511484168e-11	4.93327143350804e-09	15.4236256656164
ENSMUSG00000038022	-0.361579360290158	7.09840945422061	-6.71917034629526	2.12399685609121e-11	4.93327143350804e-09	15.421690172997
ENSMUSG00000040138	-0.3904491499185	6.84079739529289	-6.71970573861619	2.11630639860631e-11	4.93327143350804e-09	15.4089424240327
ENSMUSG00000066637	-0.359980060749479	7.0535519017515	-6.71390105995916	2.20116106963604e-11	4.96828168887171e-09	15.3809654044974
ENSMUSG00000031295	0.237958706449381	7.5016523064227	6.70348447304154	2.36186740640926e-11	5.24216470852534e-09	15.3061344967404
ENSMUSG00000026618	0.319975709825072	7.50460007801486	6.69903186433866	2.4340171027979e-11	5.31373864884585e-09	15.2971018460691
ENSMUSG00000033105	0.250281918352718	7.51519110026615	6.69559337479795	2.49120698324916e-11	5.35087151547243e-09	15.2544521372678
ENSMUSG00000027293	0.156217350098039	7.41858159044155	6.6376840490029	3.67747083086164e-11	7.77347286580706e-09	14.9097784536886
ENSMUSG00000097381	0.314555753785619	7.27054139163811	6.61504817831052	4.2784852298988e-11	8.90259184477536e-09	14.7472555881316
ENSMUSG00000021279	0.333817065093725	7.47878174945071	6.6119711557524	4.36727318576496e-11	8.94753492535877e-09	14.7382735259086
ENSMUSG00000036561	0.156676973026276	7.53979819765249	6.60655053061681	4.52809343343942e-11	9.13645761410799e-09	14.6432348670543
ENSMUSG00000070939	0.236445570584939	7.3770840505759	6.56569985069141	5.94133196078225e-11	1.18090623465279e-08	14.4515705513494
ENSMUSG00000045639	0.257229319490419	7.11180057216184	6.53735721467264	7.16687690943747e-11	1.38320724352143e-08	14.2387469589684
ENSMUSG00000049538	0.144382931256536	7.64520639498931	6.56024885448522	6.15989768011273e-11	1.20634349126561e-08	14.2082703983568
ENSMUSG00000002847	0.290676858040797	7.39808189991222	6.51609881055088	8.2452278396001e-11	1.54650280478809e-08	14.1380977089641
ENSMUSG00000027425	0.376944545530236	7.18774624145704	6.50128551907098	9.08888386716734e-11	1.68106481193149e-08	14.0292118710582
ENSMUSG00000006307	0.228190958592822	7.48302232647088	6.49893660397397	9.23019713616692e-11	1.68381555153883e-08	14.0134881777362
ENSMUSG00000045795	0.312172415013477	7.53915383037165	6.49221129605293	9.64678992911781e-11	1.736031101163e-08	13.9553107749909
ENSMUSG00000039463	0.11666545444345	7.67718105593918	6.5244878399494	7.80194845499686e-11	1.4842649653599e-08	13.9201415638438
ENSMUSG00000042106	0.254061353255937	7.48224281438307	6.46538817680695	1.14990814462586e-10	2.04177690159768e-08	13.8145664468262
ENSMUSG00000029433	0.423225640805103	7.03293409487196	6.44660567274861	1.2998757236491e-10	2.2776901331362e-08	13.6874163287209
ENSMUSG00000085655	0.270558354431639	7.46797217827002	6.42779670846849	1.46916515508056e-10	2.54089251561141e-08	13.5770023949985
ENSMUSG00000062040	0.287687777525102	7.38072080273282	6.4230845315284	1.51484496326731e-10	2.58630645843983e-08	13.5583032181171
ENSMUSG00000044250	-0.225568971805583	7.45927583661044	-6.4126572507082	1.62091852606957e-10	2.73237620400866e-08	13.4327018316578
ENSMUSG00000015966	-0.266890792271965	7.0951892324132	-6.39618506184198	1.80344577110617e-10	2.96499843627419e-08	13.3800529365437
ENSMUSG00000027956	-0.233330632448326	7.40761407208808	-6.3971691165825	1.79199886094856e-10	2.96499843627419e-08	13.3534714262433
ENSMUSG00000016552	0.189199354168563	7.52084035367954	6.37695335080829	2.04205633228453e-10	3.31634928988208e-08	13.2189776015257
ENSMUSG00000097877	0.26134739311111	7.38833217376499	6.36230796107435	2.24419874434221e-10	3.55785650933395e-08	13.1837749621084
ENSMUSG00000104155	0.357049462105859	7.06774725082421	6.35459352545824	2.35840975789952e-10	3.65197008673813e-08	13.1190415802486
ENSMUSG00000034617	-0.280502645941517	7.09635758538824	-6.35037061304351	2.42331479295384e-10	3.70934288480072e-08	13.1053830404001
ENSMUSG00000077563	0.166413814664598	7.58668666908495	6.36735106905127	2.17247699951802e-10	3.48564773525079e-08	13.1024882635686
ENSMUSG00000042348	-0.394831297067002	6.9120830140566	-6.3465500401297	2.48353767362701e-10	3.75832627269214e-08	13.0751724669058
ENSMUSG00000062861	0.31040687667806	7.31262022835494	6.33585572927419	2.65999186895817e-10	3.98012491223774e-08	13.0189680109805
ENSMUSG00000047989	0.174375735114974	7.61155568121431	6.35615138016751	2.3348974614075e-10	3.65197008673813e-08	12.9883388516837
ENSMUSG00000090115	0.263306554923015	7.42113250902981	6.32828609512091	2.79223345577629e-10	4.10754885870278e-08	12.9718601812832
ENSMUSG00000064841	0.476609798984511	6.88672157691164	6.32747155937845	2.80684047564732e-10	4.10754885870278e-08	12.9650809758188
ENSMUSG00000048371	0.396948875176232	7.30734591474268	6.32468121445434	2.85744770058084e-10	4.11337618980344e-08	12.9520036027341
