logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000086288	0.252087115332981	7.42885481168314	8.53041141629459	1.80621686108559e-17	3.18664820078461e-15	28.9389643661712
ENSMUSG00000103375	0.241721827547395	7.57961553901284	8.52513339609909	1.88952819385715e-17	3.28976803435761e-15	28.8189073871813
ENSMUSG00000025815	0.217195042621008	7.3799077363217	8.51025854046404	2.14527396179335e-17	3.68652793018826e-15	28.7599238594685
ENSMUSG00000097267	0.160319069229672	7.60142212954024	8.50324443121911	2.27743905890251e-17	3.86347097787154e-15	28.5871496029322
ENSMUSG00000020100	0.153865613730319	7.41912834386016	8.48231426253441	2.72146353651927e-17	4.50130068940287e-15	28.5401088072313
ENSMUSG00000084603	0.111881523164961	7.57498325128816	8.49717034783557	2.398361445012e-17	4.01710362536694e-15	28.5372055704979
ENSMUSG00000004609	0.21086894134281	7.46010769488863	8.46589822241565	3.12858237794071e-17	5.11079037344585e-15	28.4077544354872
ENSMUSG00000100967	0.164806704378767	7.4077273263458	8.45891010807671	3.31960993448017e-17	5.35671690890751e-15	28.3504200584234
ENSMUSG00000102918	0.137489199071059	7.42962637135557	8.42947858289184	4.25863904035773e-17	6.78919419060403e-15	28.1080029331562
ENSMUSG00000070733	0.145850283173862	7.54168112397459	8.41189742159458	4.93996792813051e-17	7.78162566964558e-15	27.9138594730782
ENSMUSG00000096449	0.230400758113128	7.57168397623804	8.40319828624412	5.31579457140215e-17	8.27512867868155e-15	27.8178480023805
ENSMUSG00000008496	0.232580318818163	7.4673403545746	8.37868961769632	6.53305125577825e-17	1.00517830484253e-14	27.6729928767241
ENSMUSG00000031015	0.198639988654564	7.36766849166775	8.37106706102283	6.96491854170019e-17	1.0535587874965e-14	27.6177598843759
ENSMUSG00000003233	0.0915867567115338	7.58170122583972	8.37035384580861	7.00673921551479e-17	1.0535587874965e-14	27.5004123647756
ENSMUSG00000029710	0.337207071960595	7.32045919505559	8.35435783616536	8.01256353484846e-17	1.19126113138331e-14	27.4179429664272
ENSMUSG00000042745	0.209097764534366	6.79550177114413	8.35011480234231	8.30245083203583e-17	1.22064477121665e-14	27.3820657111207
ENSMUSG00000038593	0.106663168352486	7.53568530122462	8.33387762947365	9.51049585289131e-17	1.36785740353758e-14	27.2574936032635
ENSMUSG00000009741	0.165169754776983	7.48127117458221	8.32706840958413	1.00672664383138e-16	1.43236633883621e-14	27.2429644798445
ENSMUSG00000018899	0.378922895098516	7.08668698897606	8.33484888532293	9.43359504243746e-17	1.36785740353758e-14	27.2175535454714
ENSMUSG00000088217	0.311461272820409	7.37352679768454	8.32267849987281	1.04431352806522e-16	1.47003793652755e-14	27.2115219066258
