logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000028044	0.328737061027045	7.25849718517346	13.4190624707069	2.00460005217661e-40	1.45801243794979e-37	80.9055865663704
ENSMUSG00000015812	-0.536704921952427	7.19745434523923	-13.3212630761731	7.16325171849642e-40	4.93585744729238e-37	79.6552423707309
ENSMUSG00000024909	0.394241699083892	7.272616087909	13.3083866564624	8.46546176692847e-40	5.54149127263138e-37	79.4880754523849
ENSMUSG00000093157	-0.467693138438845	7.12480279029978	-13.3031297810554	9.06247940004937e-40	5.64980858597363e-37	79.4090961618925
ENSMUSG00000017756	0.669334429775576	7.11976881613226	13.2689771343224	1.41014445285133e-39	8.39164144396802e-37	78.9884161646698
ENSMUSG00000052102	-0.611648794222063	7.21662198255295	-13.2640048936945	1.50376819721101e-39	8.55971010342896e-37	78.9271108451846
ENSMUSG00000027883	0.417630372467038	6.88072512206884	13.2227760481918	2.56030596243865e-39	1.39664690251029e-36	78.35312566854
ENSMUSG00000073599	0.405881935960115	7.07483612718536	12.9247321487454	1.1458429697361e-37	6.00055046391401e-35	74.6163652620041
ENSMUSG00000076431	0.413944524679034	7.01229044033552	12.9112704256916	1.35788438660045e-37	6.8374701497589e-35	74.4421044004932
ENSMUSG00000027639	0.4628482204252	7.13717269942513	12.890759521073	1.758229680966e-37	8.5254603641507e-35	74.2056540278964
ENSMUSG00000025723	0.349292297710471	7.13188509461759	12.8160989757989	4.4888354392893e-37	2.09885119897056e-34	73.2731523736354
ENSMUSG00000066150	0.670244798271446	7.00454227488891	12.7945406511085	5.87845153986407e-37	2.63443053059608e-34	73.0256646801723
ENSMUSG00000023022	0.618191578909743	6.93151161009651	12.7897912430589	6.23795802386791e-37	2.63443053059608e-34	72.953972593063
ENSMUSG00000055897	0.155473719898798	7.59672997520478	12.7922355187414	6.05028979150013e-37	2.63443053059608e-34	72.792104895859
ENSMUSG00000037353	-0.382537727052886	7.23516904944655	-12.6976823021622	1.96445659247604e-36	8.03708303396761e-34	71.8343407363609
ENSMUSG00000028268	0.684980823317052	7.02789321958484	12.6486103841834	3.6082297990865e-36	1.43148316756486e-33	71.2340293642755
ENSMUSG00000073418	0.534026602270768	7.10860859756848	12.6046108523193	6.2121508780698e-36	2.39204350869676e-33	70.6925883453992
ENSMUSG00000081339	0.498132923420879	7.20141378274984	12.5949826543372	6.99473260893262e-36	2.61642969474703e-33	70.579831626957
ENSMUSG00000007041	0.537770770312487	7.02957469816711	12.5421981285056	1.3384937520292e-35	4.86765561154621e-33	69.9312737758519
ENSMUSG00000048696	0.454056174170803	7.22616254332184	12.4165876948714	6.20696927261798e-35	2.19626058694904e-32	68.4254264681795
ENSMUSG00000029086	0.736292409085348	7.02516101915869	12.4096938760455	6.74939298491678e-35	2.3253434989087e-32	68.3440438671752
ENSMUSG00000040084	0.402812397767178	7.15616911284778	12.391831731503	8.38401823586311e-35	2.81445042933128e-32	68.123167517093
ENSMUSG00000034006	-0.41189662686729	6.89504814211519	-12.3324414984852	1.72071049931767e-34	5.63188546426675e-32	67.3987511191184
ENSMUSG00000037552	0.684121037741344	7.05934581096513	12.3058684208203	2.37119561639771e-34	7.57163244143387e-32	67.1038599712797
ENSMUSG00000030615	-0.248266387406444	7.1606833164828	-12.2925291912985	2.78463042028868e-34	8.68009082438556e-32	66.9349223165385
ENSMUSG00000024014	0.451716683483331	6.76297967352727	12.2732370634639	3.51230652256151e-34	1.06937481379942e-31	66.7033378241943
ENSMUSG00000091549	0.33737750909432	6.90655476087049	12.2646858143409	3.89256422050727e-34	1.15821479033821e-31	66.5920999717218
ENSMUSG00000050248	-0.548971135323741	7.18085341999359	-12.2458765403176	4.87899984950781e-34	1.38339970104414e-31	66.3917168263945
ENSMUSG00000041075	0.531202432568996	7.02960309541876	12.2443972818325	4.96637533983154e-34	1.38339970104414e-31	66.3676066963868
ENSMUSG00000039158	0.492272624685328	6.96668228597845	12.2448699594746	4.93828793424958e-34	1.38339970104414e-31	66.3663647205402
ENSMUSG00000015656	-0.475052255689535	6.64275667002407	-12.2403068807962	5.21616078448642e-34	1.42270785396867e-31	66.3194770056361
ENSMUSG00000068263	0.178843148256931	7.49310106949181	12.2297733043749	5.91836054245782e-34	1.58128931065016e-31	66.117324016763
ENSMUSG00000026728	0.618811998985413	6.93573505091375	12.2190695741518	6.72810406461519e-34	1.76168676827884e-31	66.0689133724652
ENSMUSG00000097415	0.457567908490871	7.34021447183937	12.170993173645	1.19528432015072e-33	3.06836516066925e-31	65.5059131781184
ENSMUSG00000022091	0.595949437004953	6.93597976104287	12.1200317513136	2.1929190787756e-33	5.52109549602503e-31	64.9033582093242
ENSMUSG00000070871	0.656326734235223	6.88019128057497	12.0733921697333	3.8134411775094e-33	9.41991922565152e-31	64.3589945698995
ENSMUSG00000032531	0.614379075105907	6.81315762819867	11.9842823888973	1.09147753147708e-32	2.64622663742555e-30	63.3207525432729
ENSMUSG00000059791	0.199944540530089	7.45356998570672	11.9323710090861	2.00727581030333e-32	4.7780463469984e-30	62.6651677324068
ENSMUSG00000077338	-0.392488954901943	7.35871296921864	-11.9203563968369	2.31042728086068e-32	5.40144892161216e-30	62.5656350803266
