"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEpink","MEpurple","MEred","MEroyalblue","MEsalmon","MEtan","MEturquoise","MEyellow"
"X.HIP..CN..171..1.0..0.024736.",-0.482111411189998,-0.185746301833188,-0.279531181801407,-0.372125979957601,0.0200421474849989,-0.185815819503603,0.434222255734889,0.366874503585222,-0.109740111883267,0.137269025967914,0.220395695038292,0.267677482245098,0.164888358889836,0.149323241047799,0.353149231370476,0.39962568350788,-0.528445496497828,-0.51486771090575,0.17445420288632,0.0611374964168923,0.0351840190534497,0.331863072522574,-0.144810373473489,-0.412891596052012,0.227944550576897,0.349213194206741,-0.402446379854213
"X.HIP..CN..175..1.0..0.177900.",-0.181612849615327,-0.202732977950863,0.0174146920133912,0.0476015340253564,-0.316945489998823,-0.14982903031165,0.459432214605901,0.256095759035823,-0.245477429203173,0.194407123666207,0.0186178915697338,-0.0531422632240674,0.224354003243788,0.370290054036986,0.193650452470172,0.297630439327318,-0.179678349340263,-0.379075590277797,0.573739225233444,0.254024865140469,0.0723517970735087,0.36365175311925,-0.360550667886781,0.0206367454078806,0.32559681826351,0.120100119076615,-0.221274308530217
"X.test_HIP..SN..182..1.0..0.000818.",0.264916813079134,0.0744370298938522,0.268833153427824,0.441013610021629,0.0500657564096658,0.882324119570306,-0.239525485398358,-0.295393793676593,0.0954461010178287,-0.240983367930078,-0.309401099625936,0.563475190311968,0.0290697730994707,-0.191942005787807,-0.307001704424212,-0.301767379064373,0.361206711140443,0.231252629018539,-0.06914322527059,0.0442227562482909,-0.103517825342021,-0.215297277147248,0.0227495000066842,0.25744314099579,-0.153682266856673,-0.326477799123954,0.227761808255082
"X.HIP..CN..183..1.0..0.030263.",0.0569545079634443,-0.3581307924182,-0.0385838429615753,0.168763496733497,-0.272870022279939,-0.0127176817720328,-0.0644300669298756,-0.0113743850080544,0.124660210554156,-0.0649650112341838,-0.162376858609638,-0.16299809097176,-0.0416635573069358,0.0523293679030158,0.0097494948790488,-0.229961529253212,0.279703544903177,0.185022045292423,0.0777678238685612,0.311435640401082,-0.0764358302837459,-0.134996882657302,-0.0476220566538606,0.340198483072397,0.123763508517006,-0.235352172300699,0.294449111199293
"X.HIP..SN..185..1.0..0.000285.",0.0648247106749764,0.00499906165897737,0.157781084915138,0.165284260129911,-0.153233605884289,-0.0700791703052334,0.0296188424391168,0.0897972708068371,-0.00115255563255144,0.0582903287598413,-0.0900283952273792,0.101076629360813,-0.118324761571633,0.164346389590478,-0.117895923847774,0.00467864877889018,0.0887861128909682,-0.117661628056417,0.367130221425197,0.184786096496762,-0.229242447818232,0.0566607412302607,-0.114606998910116,0.24554905222937,0.0773858075502011,-0.136457961746071,0.0681313267226842
"X.HIP..SN..191..1.0..0.018520.",0.135172852402862,0.020573065986074,-0.0126801325025301,-0.0414873692845674,0.118795495960682,-0.0801207569061054,-0.163919340141376,-0.70486325764541,0.202364677235752,-0.465377025315986,-0.442760161514177,-0.0876885792735849,0.117863947456576,-0.614137978379362,-0.534757615874798,-0.304982847984095,0.291022176300912,0.248817647067515,-0.318372571235973,-0.131223204850241,0.0792860288128529,-0.0369763488323896,0.305416228246129,-0.0842157426849932,-0.690556281305397,0.040969947235368,0.00103915823658309
"X.HIP..CN..194..1.0..0.0.",-0.260929836865682,-0.26889534864525,-0.365409478771634,-0.312296296256194,-0.0929271139923384,-0.167893407400335,-0.0613691006904305,-0.0357352451556703,0.124099442600843,-0.152793198452651,-0.0825484958609186,0.118309715886989,-0.0566172395518036,-0.181635854558954,0.0267336893240039,-0.0854476880925593,-0.0856563246985793,0.0635667466232385,-0.0892047679233755,0.0892514131670334,0.0140823793317486,-0.0942964918050919,0.0775651270875379,-0.183162671167112,-0.000852063978806887,-0.0735689705190078,-0.0368853316080237
"X.HIP..CN..195..1.0..0.103895.",-0.245736765948745,-0.252217681056883,-0.446543467818378,-0.337778915862896,0.0638379764284667,0.11226418597697,-0.246888981632706,-0.042708019562346,0.299440544587662,-0.283629301993593,-0.0572733984295072,-0.511347106447135,-0.224245029227515,-0.245806001036896,0.133199421294132,-0.102271693303182,-0.0838327878452668,0.248455607213722,-0.149874967734301,0.19789033258377,-0.220205878913868,-0.237088399990323,0.233582973106387,-0.166870021734418,0.0505980537850849,-0.146830121542625,0.310698775073194
"X.HIP..SN..201..1.0..0.002198.",-0.189897936769272,-0.148987713362799,-0.268383265028884,-0.140569129618357,0.0378846600183604,0.105092918176629,-0.190936609073716,-0.105921039260321,0.334413438914463,-0.315200078603754,-0.229890175311902,0.278435746162347,-0.514625846996322,-0.208136202516197,0.028989910477523,-0.172849002101742,-0.0507140525792808,0.194655047001088,-0.10353585917928,0.202622169124368,-0.376429504297492,-0.403563908979547,0.173419052059272,0.0969914873878205,0.122976967135976,-0.331543361250828,0.327965787797136
"X.test_HIP..CN..203..1.0..0.108372.",-0.305982032482325,0.194138547275309,-0.182879596997438,-0.381045627321599,0.360933604951909,-0.168227139045189,0.298834011145813,0.31374812689942,-0.0359913143677145,0.182685083397797,0.372673392396801,0.115846724291818,0.103867929847643,0.131114757774108,0.525563910609303,0.440617337353692,-0.479823878619971,-0.205692424080239,-0.180711652078555,-0.19456344948213,0.505677416386755,0.214259674956867,0.137790045080788,-0.488352721481978,0.276838941696496,0.361160501801103,-0.259540098603183
