"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"X.NAC..CN..171..1.0..0.024736.",0.465360386352032,0.156517654970093,-0.495910593110917,0.267561454558173,0.190183624713731,-0.0682599119002173,0.26580290123533,0.113941449405084,-0.270237069201644,0.466219868536889,0.264152184508872,0.0666820808543694,0.222681553114301,0.26809836335957,-0.0439860054849354,0.403559447860287
"X.NAC..CN..175..1.0..0.177900.",0.248089191167549,0.354303727398284,-0.434981806374785,0.10877361801159,0.229110640454415,0.117948133132994,0.493003091654722,-0.0715350933059513,-0.032455135518544,0.448422613233373,0.0975461294092234,-0.0611565582610534,0.255431475079862,0.16853472141405,-0.379565998993411,0.454190407537056
"X.test_NAC..SN..182..1.0..0.000818.",0.313005710827054,0.302250515398838,-0.128301687272493,0.371886915137835,0.346122678136613,0.144249709879531,-0.0854056805393722,0.273354907374857,0.170465033172172,0.117672089522983,0.119214395444238,0.00390339701911008,0.0393425057301204,-0.262043743407001,-0.11803886894594,0.105610822255642
"X.NAC..CN..183..1.0..0.030263.",0.213145879327568,-0.214557751987065,-0.087522606868923,-0.0369471204095037,-0.183987345016202,-0.248920275892838,-0.145152887680805,0.049631766728161,-0.195277288386457,0.0363316680859779,0.180849079337785,0.268835581743578,0.252209580006564,0.139904993042308,0.155374537804756,0.16252193830527
"X.NAC..SN..185..1.0..0.000285.",-0.185304135930905,0.0106475966089473,0.387407577745029,0.415997601674019,0.24627381558001,0.375140143113808,0.214548995567102,0.568817820143084,0.562074981641177,-0.46406964493109,-0.255951820166814,-0.351351102470067,-0.572135318508415,-0.604414314958538,0.0212526308212775,-0.267813924367733
"X.NAC..SN..191..1.0..0.018520.",-0.0399236037417399,-0.295082070908806,0.247646991772336,-0.006679120315502,-0.204473949277537,-0.202323657290992,-0.0737045562296889,0.184891145809125,0.00997968423060744,-0.270601654081728,0.14785372675283,0.248190138311696,-0.0258668521592226,0.0786038660318714,0.269702599031352,-0.289171006601601
"X.NAC..SN..193..1.0..0.002738.",-0.189580368898651,-0.0924399060792862,0.0861626847312524,-0.0824741354252814,-0.0410692397911195,0.0391741624675728,-0.0994909436180795,-0.141004723391838,0.0630041106203697,-0.382490683801524,-0.297984033260568,-0.175910988131887,0.0650921390031192,-0.378512154359207,-0.0333063865678283,0.0451655912697275
"X.NAC..CN..194..1.0..0.0.",-0.189161514816836,-0.527779603947361,0.288286841593975,-0.253668765923534,-0.40791184829885,-0.280159148414256,0.363952098541774,-0.0540298047146775,-0.0657162989632767,-0.251031609580691,0.191439338599695,0.109262200713137,0.158057992151197,0.0369535109338505,0.24068202262091,-0.212359816555504
"X.NAC..CN..195..1.0..0.103895.",0.160719210373269,-0.111100079474665,0.0328541384846129,-0.267249144551414,-0.116699645993513,-0.152601162994815,-0.0750977960020623,-0.231557125251993,-0.131492365975874,0.0135073406436561,0.125785110433244,-0.1426744875611,-0.0250714031739659,0.0677839568347316,0.200168708403414,-0.109982857807203
"X.NAC..SN..201..1.0..0.002198.",0.113890762713242,-0.0833555532521544,-0.0441226000916505,-0.2508889176285,-0.145485165970249,-0.218062796762497,-0.260797177293323,-0.238250024528872,-0.207639108139443,0.0497164355758835,0.305053875611537,-0.163775224805741,0.0577054417345031,0.221712873354633,0.206282958949622,-0.268096047816649
"X.NAC..CN..203..1.0..0.108372.",-0.0521912154811198,-0.105106335053739,0.081780455567608,-0.327030844663966,-0.283222252781155,-0.294558938023227,0.0730637314705259,-0.386888469677689,-0.300395696749777,0.174752721528737,0.281006887546326,0.427050857159159,0.266892664076176,0.230900157727821,0.262904941775352,0.109494818894038
"X.NAC..SN..204..1.0..0.005963.",-0.256365471183736,0.375034837130865,0.223209575855466,0.267852164007506,0.292120649811547,0.341396105235774,-0.334880923589472,0.229438840914414,0.333697895259071,0.106835677135153,-0.0789579416284393,-0.179756328060256,-0.00987628007365768,-0.0750822379663196,-0.476489325987799,-0.143035289168446
"X.test_NAC..SN..205..1.0..0.002711.",-0.468468641084041,0.32342039287937,0.131007987930255,0.201658327420059,0.169441440558833,0.327904693975021,0.336669344338881,0.0487604757828883,0.0867208262503651,0.0116114412392765,-0.586761060127833,-0.464278462110224,-0.609589268554446,-0.0469193717837737,-0.137285517334122,-0.292076217138572
"X.NAC..CN..214..1.0..0.006375.",-0.138747353158172,-0.179658721881406,0.0964916956643164,-0.414598733075218,-0.264087965799638,-0.164972565938228,-0.175941752150032,-0.450836304999201,-0.254662773934052,-0.0439491658701364,-0.109211954834988,0.0302296359304632,-0.11956750590466,0.108729115828853,0.197038766849722,-0.126224458212474
"X.NAC..CN..223..1.0..0.137218.",0.252621010456972,0.158893811645974,-0.390817288955294,0.0621882596493552,0.381186490684371,0.448402958518451,-0.196419877927732,0.0647956265344969,0.410198464798971,0.097774503799727,-0.327918660684576,0.456239462019113,0.00501152078255008,-0.266584070799213,-0.482969814696953,0.415921630050509
"X.test_NAC..SN..225..1.0..0.0.",-0.247089846922485,-0.0719885134478885,0.00680863332921104,-0.0563815584656192,-0.207501927011254,-0.164357449106081,-0.300148567777767,0.0404695131781107,-0.178265259103665,-0.110701601036485,-0.0561152569405326,-0.0714902023502962,0.0396817566959765,0.312334334746364,0.118234751754583,0.0122949614956523
