"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"47",47,0.101794739539434,0.118036911974738,-0.154685278459549,639.284522203678,661.723886392538,1219.22508903949
"48",48,0.0854496285417142,0.107245410549556,-0.174445691191093,626.209052626278,647.474043875764,1200.37591151254
"49",49,0.072797617736989,0.0984832888336469,-0.188703982752016,613.609577560009,634.279573143114,1182.13086775075
"50",50,0.0589087577763569,0.0880592608770443,-0.203651582861794,601.460667265675,621.274076431614,1164.4595545026
"51",51,0.0451469960579217,0.0768999474900446,-0.215107360538085,589.738687527105,608.957786868994,1147.33364251485
"52",52,0.0348683359360019,0.0670026817789193,-0.223221439803335,578.421642417026,597.250015859782,1130.72669986264
"53",53,0.0251897972349105,0.0570816492942137,-0.23010127415726,567.489033438972,585.784199719561,1114.61403318493
"54",54,0.0174941622767363,0.0475257402045321,-0.233044071414704,556.921733075506,574.369657680656,1098.97254473043
"55",55,0.0113712457413792,0.0382996788227605,-0.234110488029144,546.701871040813,563.704410340932,1083.78060339638
"56",56,0.0066336072887672,0.0296724665201139,-0.233988263615454,536.812731762983,553.592437084391,1069.01792817891
"57",57,0.00321717518681557,0.0205810123648947,-0.232303355669885,527.238661814847,543.326158748385,1054.6654826559
"58",58,0.00113996954240047,0.0122824138971873,-0.227700131746835,517.964986177534,533.711777255717,1040.7053792964
"59",59,9.87444108462778e-05,0.00362739792563409,-0.217809868477322,508.977932362464,524.31408423238,1027.12079253994
"60",60,0.000125363767625868,-0.0040897750830465,-0.20844009702733,500.264561539096,515.032749057271,1013.89587971748
"61",61,0.000837769077543507,-0.0105799517585891,-0.196063933815421,491.812705920427,505.947519995959,1001.0157089967
"62",62,0.00253097632708069,-0.0185524908621521,-0.185589710044761,483.61091174865,497.28233551205,988.466193631071
"63",63,0.00530195396200055,-0.0270999538318079,-0.172931652766295,475.648387301584,488.703506564753,976.234031875165
"64",64,0.00896871748522311,-0.0354477157429846,-0.157287669947784,467.914955408375,480.808558587095,964.306652002164
"65",65,0.013393016352758,-0.04400450207841,-0.141107038477568,460.401010021956,473.258387106662,952.672161922542
"66",66,0.0182105429277431,-0.0518005256088413,-0.127112069142215,453.097476447211,465.677311188061,941.319302958834
