"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"1",1,0.90429310682561,3.31706710580941,0.880688351770459,9549.07911195709,10427.4917311638,10917.0136385511
"2",2,0.821569215742553,1.66579458919514,0.787760488396011,7978.76169568138,9044.55299274641,9843.24544369248
"3",3,0.720921761883453,1.0814840343976,0.70034847826028,7003.13912997237,8088.52190752213,9119.18096229534
"4",4,0.622524670345759,0.816032174596702,0.61614317183763,6308.5744189951,7357.65104977869,8569.61938107208
"5",5,0.52828448253103,0.663345184274903,0.544436235973611,5776.423228383,6771.10412887871,8125.78945250043
"6",6,0.43295361315698,0.539141227903137,0.513224684009781,5349.51237247321,6281.29992322031,7753.45032522891
"7",7,0.36899132992999,0.454496536439003,0.499969817827668,4996.02225430068,5860.3069046134,7433.01100243871
"8",8,0.302109521490495,0.381064983405196,0.497859495981077,4696.4648742175,5497.30976860925,7152.09854960079
"9",9,0.234875186095134,0.316455153898393,0.535407086780692,4438.06261367657,5180.76754121492,6902.35242402078
"10",10,0.169815658384275,0.254923596706304,0.614865776590351,4211.99921784099,4900.88775153819,6677.83506175129
"11",11,0.124884447172767,0.208493575205609,0.688809862714255,4011.94596678409,4644.30468418622,6474.16649906057
"12",12,0.0881285789814997,0.169214574880869,0.765084961130129,3833.21371524095,4418.67719537228,6288.16991095862
"13",13,0.0619162439433705,0.138520908956416,0.806100433104137,3672.23696798067,4212.85619542676,6117.33604501973
"14",14,0.0411352437142763,0.10989190857457,0.823057523812906,3526.24540689634,4021.63603146483,5959.36799979255
"15",15,0.0258727429332708,0.0849375554502555,0.841739011132758,3393.04676229928,3847.12548390712,5812.60125306675
"16",16,0.0146719374362106,0.0629862558154407,0.857214002151406,3270.87868018271,3689.84633853864,5675.67209358512
"17",17,0.00730599000391216,0.0435038442327384,0.86984416330774,3158.30490101043,3541.84119867174,5547.44922389631
"18",18,0.00263873120507751,0.0254155543277739,0.876582490696597,3054.14078233315,3403.93511230568,5426.98380749055
"19",19,0.000339117089314081,0.00894954638877178,0.88722760244428,2957.39877600686,3277.75962547964,5313.48469655821
"20",20,0.000143681372873578,-0.00573327713024266,0.892558662396227,2867.24779379325,3160.24362901783,5206.45414441684
"21",21,0.0017468628767581,-0.0196363232406607,0.894277654956916,2782.98243930153,3052.7170584816,5105.17924211684
"22",22,0.00524945727421684,-0.0337065058590041,0.897588514332894,2703.99937782643,2944.56064863381,5009.1660352463
"23",23,0.00990069110608996,-0.0458992136271051,0.90138354330355,2629.77895505067,2850.43880578543,4917.86182980261
"24",24,0.0166741559371413,-0.0585340523776143,0.910323988083096,2559.87073261342,2757.88990907896,4830.8738491278
"25",25,0.0240348699766314,-0.0699948527147357,0.922013871283028,2493.88198570736,2673.40198549981,4747.8555148035
"26",26,0.0323506097681737,-0.0805817369610867,0.924974335431811,2431.46846792111,2590.03358562652,4668.49949788243
"27",27,0.0440176325231247,-0.0926837113090236,0.921471306604763,2372.32693083734,2515.1765206822,4592.53202868494
"28",28,0.0543652299741454,-0.101731411678076,0.922662707041399,2316.18901561822,2439.08721563866,4519.70820136523
"29",29,0.0648558199949963,-0.110582297761759,0.92985861015758,2262.81622740283,2371.48505003121,4449.8080717298
"30",30,0.0768707543804593,-0.119973171946105,0.931505019174206,2211.99577172898,2303.13939553736,4382.63339281966
"31",31,0.089435261724163,-0.128644062473208,0.937122856409874,2163.53708275044,2238.90811544924,4318.00486716813
"32",32,0.103658944470632,-0.13751188824862,0.940255773423286,2117.26891080538,2179.68992072686,4255.75982062242
"33",33,0.118512845655677,-0.147062022548711,0.942980886175124,2073.03686541562,2122.63743401793,4195.7502224198
"34",34,0.131964979784215,-0.154645244406254,0.944037029219165,2030.70133153163,2066.64905019486,4137.84099144128
"35",35,0.145186722607927,-0.161373900370584,0.951022384101759,1990.13569354623,2015.93862513515,4081.90854037883
"36",36,0.156534160298995,-0.166703929215067,0.953816342054313,1951.22481454923,1967.75520622952,4027.83951878599
"37",37,0.174046787132444,-0.174333130274312,0.951714975480616,1913.8637284083,1921.37028255161,3975.52972325193
"38",38,0.189777334677631,-0.182495616326635,0.952693194039092,1877.95651021757,1874.6094037196,3924.93350520878
"39",39,0.20361730271909,-0.188561960116814,0.955527336025324,1843.41529695654,1830.52191825631,3876.03426329798
"40",40,0.215922846155983,-0.194579323071007,0.955641475470011,1810.1594352249,1788.98545268218,3828.62390190874
"41",41,0.229880134814821,-0.20065486824561,0.956771934604279,1778.11473694759,1749.69211875263,3782.62648030112
"42",42,0.245620225781336,-0.207519419407447,0.959540097515565,1747.21282719363,1708.52316525481,3737.97149941767
"43",43,0.259085122633178,-0.214079562466959,0.960263460973331,1717.39057088785,1670.22691008575,3694.59340124549
"44",44,0.27527608970007,-0.220978371480389,0.959962750239308,1688.58956734324,1635.62764870343,3652.43112426477
"45",45,0.288313445005073,-0.225890271111511,0.968528684330086,1660.75570330175,1601.79391282133,3611.42770760417
"46",46,0.304051713552967,-0.231390956656569,0.971399210389466,1633.83875662035,1569.37605482046,3571.52993763331
"47",47,0.317991618432034,-0.236685178071995,0.970638556708764,1607.79204393726,1539.27766654453,3532.68803164553
"48",48,0.332970810375833,-0.242042902368264,0.969790265852903,1582.57210664794,1508.29494853755,3494.85535405485
"49",49,0.346869435879787,-0.246320773101367,0.972285304989924,1558.13843034976,1479.12048193804,3457.98816117739
"50",50,0.362731593697661,-0.251159701243642,0.97354025252639,1534.45319360864,1451.09174515592,3422.04537121156
"51",51,0.377376363281856,-0.256105212773268,0.975250175526606,1511.48104248421,1422.93746907019,3386.98835649056
"52",52,0.38999342630631,-0.259714374547557,0.976894501870344,1489.18888774166,1396.49509607737,3352.78075547053
"53",53,0.400900675968523,-0.264032704439421,0.977541235845355,1467.54572209461,1370.76202361055,3319.38830224873
"54",54,0.413917829720318,-0.268624254748442,0.978140170573287,1446.52245517675,1346.79414716145,3286.778671689
"55",55,0.427330013683209,-0.272947906173724,0.979039123471142,1426.09176424031,1321.49493080917,3254.92133847363
"56",56,0.438198398473597,-0.276608368883274,0.981800363193152,1406.2279588369,1296.371682727,3223.78744860846
"57",57,0.451289129529046,-0.280509487013355,0.982696086370346,1386.90685795582,1273.33419049626,3193.34970208692
"58",58,0.46571429726423,-0.28405329197602,0.984633249320127,1368.10567828438,1251.91512123745,3163.58224557318
"59",59,0.479864040991052,-0.288634473956737,0.984353070264247,1349.80293241755,1230.00799621876,3134.46057409819
"60",60,0.490120218420736,-0.292514997874011,0.986237785252623,1331.97833598492,1209.92722450292,3105.96144087839
"61",61,0.49879797076455,-0.296227004776126,0.984915379488187,1314.61272278473,1188.77530606784,3078.12230427896
"62",62,0.512107814545132,-0.300283409081901,0.985561598652299,1297.68796712061,1168.09109889087,3050.93313447796
"63",63,0.525325584523632,-0.304185305184721,0.986090258061622,1281.1869126286,1147.32655366308,3024.30074881655
"64",64,0.534975837723629,-0.309241125695096,0.985920757814711,1265.09330696215,1130.34327452312,2998.20622665128
"65",65,0.540811418988934,-0.312001969794915,0.985688445961811,1249.39174177321,1112.26359524943,2972.63155071624
"66",66,0.549565002637244,-0.315831201251107,0.985679187005936,1234.06759748858,1094.81370959034,2947.55955180218
"67",67,0.558012783304538,-0.318971461017115,0.986989515857898,1219.106992435,1077.89007063034,2922.97385755159
"68",68,0.569136371045951,-0.322497866586581,0.9872351892028,1204.49673591344,1061.31087602693,2898.85884501011
"69",69,0.57677128620921,-0.325799930289236,0.986854565134551,1190.22428486527,1045.22587736814,2875.1995966108
"70",70,0.585347880531487,-0.329144695367804,0.986609992402385,1176.27770380952,1029.09632294653,2851.9818592996
"71",71,0.593396433821715,-0.332604673089368,0.987018765760865,1162.64562776331,1013.35577168804,2829.19200653882
