"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"54",54,0.89784675442553,-0.338819377969014,0.878087827666598,790.708575694805,708.142041197966,1940.87375431645
"55",55,0.90047852965358,-0.345439129383797,0.880361715146159,777.190283557141,693.535105984948,1916.11944598194
"56",56,0.905900486531684,-0.351184690693683,0.886126074229659,764.091073261167,679.448906843647,1892.0070420766
"57",57,0.912072550633209,-0.357984441947034,0.893498519696247,751.391697295002,666.634803739529,1868.51033578447
"58",58,0.920135156447925,-0.364127457078239,0.902887163466963,739.074082734985,653.583236496602,1845.60458995196
"59",59,0.919902913558665,-0.369715562812941,0.90150953911365,727.121241986518,640.034703336231,1823.26643255631
"60",60,0.919451451658488,-0.375440014556711,0.900592655639786,715.51719162044,628.75282335133,1801.47376115577
"61",61,0.923173079626428,-0.380903553547733,0.904824973986105,704.246878454278,617.563602162603,1780.20565541875
"62",62,0.923060377070656,-0.385572384614121,0.904262496048941,693.296112129038,607.277253289226,1759.44229693245
"63",63,0.925348294129209,-0.390682280112494,0.906710397061715,682.651503520059,596.626100101553,1739.1648955824
"64",64,0.930147372123373,-0.395402710231178,0.912278857986475,672.300408396826,586.882011814163,1719.35562187269
"65",65,0.928242364666021,-0.400676063259348,0.90960314269421,662.230875813197,576.647236082777,1699.99754462626
"66",66,0.929484514125992,-0.405615498403045,0.910782698726206,652.431600767581,567.018709228215,1681.07457356468
"67",67,0.931447908049123,-0.409577537599954,0.913050162297829,642.891880723469,557.048296654255,1662.57140632056
"68",68,0.930139327947243,-0.413913650525459,0.910896963814733,633.601575625279,547.375345008639,1644.47347948202
"69",69,0.930768096046705,-0.419012331983097,0.911478463122058,624.551071083662,538.353418500625,1626.7669233106
"70",70,0.93370765884942,-0.424443365454903,0.915113295739344,615.731244438857,528.420400808947,1609.43851980998
"71",71,0.934629845101056,-0.428544177941693,0.916129263283711,607.133433441144,519.289194772828,1592.47566385566
"72",72,0.937660771896236,-0.432834287338357,0.91991534265102,598.749407314244,510.823561860838,1575.86632712423
"73",73,0.937692473536196,-0.437281099585916,0.919954495976283,590.571339991339,503.245604783086,1559.59902458635
"74",74,0.940287406341422,-0.441730753367265,0.923298781384472,582.591785334444,494.938838114672,1543.66278335051
"75",75,0.94088188114696,-0.446006937148085,0.924034360886036,574.803654166589,487.277647736511,1528.04711366471
"76",76,0.941570228405963,-0.449339885751996,0.924893364366306,567.200192962916,479.329327825856,1512.74198190111
"77",77,0.940235607783,-0.452828431033241,0.923160436200796,559.77496406165,471.534496812374,1497.73778536549
"78",78,0.941539929281891,-0.456371082193131,0.924837502207851,552.521827269112,464.18169589856,1483.02532878701
"79",79,0.942368048938111,-0.460776019010806,0.9259078460777,545.434922744813,456.839672676852,1468.59580235761
"80",80,0.942034187919612,-0.464451320996807,0.925524822628111,538.508655063206,449.810803791508,1454.44076120136
"81",81,0.943386182445768,-0.468268915318902,0.927289176343591,531.737678358208,443.231317347187,1440.55210616514
"82",82,0.943992486846895,-0.472088978887822,0.928148204089721,525.116882465101,437.040900825168,1426.92206583109
"83",83,0.944124598343714,-0.475476272421027,0.928402022425764,518.64137998205,430.759133644801,1413.5431796601
"84",84,0.941498143626188,-0.478874137348238,0.925085357032389,512.306494180412,424.963327553779,1400.40828218318
"85",85,0.942673318453078,-0.481790493018286,0.926700800056539,506.107747699163,419.643065506719,1387.51048816452
"86",86,0.943893778933524,-0.485078123363772,0.92843076068315,500.040851964411,413.620302304928,1374.8431786665
"87",87,0.944612699763352,-0.488733685653079,0.929476910074537,494.101697279972,408.114192563479,1362.39998795256
"88",88,0.945826732145878,-0.490803789088217,0.931245975276939,488.286343539609,402.246560879243,1350.17479116895
"89",89,0.944327767644481,-0.494445916386673,0.929423109828492,482.591011515623,396.600068426446,1338.16169275129
