"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
"28",28,0.395997678221247,-0.269442198219582,0.988223338828097,1661.47262011286,1563.12739281071,3774.84497931201
"29",29,0.418582180219976,-0.277986114993903,0.988676071265106,1615.22348619507,1505.75279301937,3702.68636028271
"30",30,0.442973060061716,-0.286993280236474,0.989553799176995,1571.42367320384,1451.17473809153,3633.52301775671
"31",31,0.460295996380854,-0.295855833598729,0.986082351800869,1529.87895730333,1398.82896281125,3567.15378670927
"32",32,0.47852568390491,-0.304148689243679,0.98672983394751,1490.41557465136,1352.23670134982,3503.39641511017
"33",33,0.497334337095434,-0.311566039552087,0.987715201256618,1452.87754957767,1306.56656416349,3442.08528409014
"34",34,0.51515893392051,-0.317694932131746,0.988038267414182,1417.12443646349,1263.7799883139,3383.06946100181
"35",35,0.534205679460783,-0.325222496767311,0.988275343661771,1383.02940167163,1224.56497509144,3326.21102871163
"36",36,0.549776252076213,-0.332805162392249,0.987753748480528,1350.4775866178,1186.38365271039,3271.38364539954
"37",37,0.569091253857007,-0.338763396213701,0.987883273163164,1319.36470455388,1149.54467716604,3218.47129773568
"38",38,0.585824297217906,-0.345255437245813,0.985761010367441,1289.59583263973,1115.18239389187,3167.36721709988
"39",39,0.601438930165633,-0.351263724440437,0.987653073408987,1261.08436799337,1082.47956429041,3117.9729339202
"40",40,0.61907507374882,-0.356941768038934,0.988441468094552,1233.75112206497,1051.61385223713,3070.19744954288
"41",41,0.632579325304104,-0.361914983987883,0.987817082277441,1207.52353220386,1022.56210599132,3023.95650853979
"42",42,0.640194457069983,-0.368592448938518,0.98541473382117,1182.33497292765,994.063132271655,2979.17195719242
"43",43,0.654142015609295,-0.374152246581329,0.987507070706301,1158.12415234724,966.634549729284,2935.77117619953
"44",44,0.669604949197049,-0.380222316798919,0.988166944356994,1134.83458159637,941.424063624643,2893.68657754639
"45",45,0.678957441476658,-0.384716504779565,0.98681302927694,1112.41410707166,915.841157104147,2852.85515702982
"46",46,0.691951664955839,-0.390098144080894,0.987500283788369,1090.81449689664,890.784414904598,2813.21809522073
"47",47,0.705829981877083,-0.395797728864938,0.988149355284017,1069.99107434898,869.273285345318,2774.72040071423
"48",48,0.712880250854926,-0.399990885516435,0.986780950628402,1049.90239208888,847.267565915674,2737.31059040996
"49",49,0.718961089113286,-0.40410375924872,0.985448158049983,1030.50994194034,826.500329052763,2700.94040231175
"50",50,0.728329586073508,-0.408734022694738,0.984752536666938,1011.77789574024,806.280610190802,2665.56453696385
"51",51,0.735582890474747,-0.413454389816789,0.984812927015595,993.672873410021,786.701089345374,2631.14042417111
"52",52,0.745311466026118,-0.417453919264596,0.984633629514697,976.163734943091,769.000983931304,2597.62801209939
"53",53,0.754203203815214,-0.421833424207885,0.983826675312526,959.221393455524,750.637630708954,2564.98957623377
"54",54,0.76314234520649,-0.425867771520716,0.984674349590418,942.818646832664,733.581998833121,2533.18954599762
"55",55,0.769353697366843,-0.430138369844224,0.984587820966795,926.930025831361,717.086604198235,2502.19434711373
"56",56,0.775061989378024,-0.434296496171382,0.984009412277626,911.531656776472,701.734069180814,2471.97225802723
"57",57,0.783256429184497,-0.437236843737144,0.982934440076184,896.601137228642,685.758746720772,2442.49327891558
"58",58,0.791105375842883,-0.441074335020256,0.983578402093031,882.117423204828,671.679487190317,2413.72901198784
"59",59,0.796086795019254,-0.444867450777057,0.983286832450588,868.060726708714,657.958359765824,2385.65255192894
"60",60,0.800715943510488,-0.448247465509204,0.982287183578498,854.412422479669,643.526284551005,2358.23838547727
"61",61,0.806663162723733,-0.452344463478929,0.98239614068747,841.154962999812,630.051726058444,2331.46229923988
"62",62,0.811669688795779,-0.45579149045465,0.979994223990269,828.271800912122,616.850989759766,2305.30129494992
"63",63,0.816116711301328,-0.458574698541484,0.978729532999666,815.747318101038,604.633412857279,2279.73351145924
"64",64,0.820496074828822,-0.460988341381125,0.979717356880677,803.566760772703,592.743622412301,2254.73815283606
"65",65,0.825066479465989,-0.464547428084758,0.979241251816631,791.716179946758,580.595058181609,2230.29542200508
