"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEroyalblue","MEsalmon","MEtan","MEturquoise","MEyellow"
"X.CPU..CN..171..1.0..0.024736.",0.245378286027163,0.225381660710939,-0.439829472329717,-0.240633952588913,0.205986611252496,-0.324110369986891,-0.0425110378419523,0.184211248759346,-0.277027413733332,-0.300541252023246,0.312684507885786,0.0804781153611289,-0.0265550988503537,-0.0339070011282445,0.0194784021696261,-0.00051108006752782,0.211713961477619,-0.00384756216197411,-0.101158633881951,0.160522124100315,-0.117991718680214,0.00316703463064665,-0.448653357446247,0.0796963436159112
"X.CPU..CN..175..1.0..0.177900.",-0.111574007059559,-0.404710462543513,-0.634148912174072,-0.0159072281576124,-0.209052281240401,-0.092013395056159,0.310606578137171,-0.176485012513852,-0.0204851297017142,-0.272365538028446,0.0292287220422428,-0.170728543057575,0.409849588385385,-0.359787642498838,0.105397913625164,-0.00994627299266492,0.0918898995061957,-0.0782246526225883,0.0341504687991661,-0.125905986582326,-0.170001120003617,0.112798957082524,0.0129750831119889,-0.341820656187094
"X.CPU..SN..182..1.0..0.000818.",-0.467897149133663,0.330966948135298,-0.111646855286152,0.734747968990428,0.101750646833227,0.617423726888657,-0.536448924448875,0.709077479385743,0.525417892602037,0.130968478245073,0.118740346528059,-0.736567095635465,-0.150025942208789,0.326650256740633,-0.0980198583024532,-0.688109006240762,-0.162563344885448,0.767924972178396,-0.801621854856484,-0.480036130907144,0.647464514856029,-0.463536040150883,0.313243983024949,0.537603156073786
"X.CPU..CN..183..1.0..0.030263.",-0.0932793290147653,-0.438530912842054,-0.0492652910938995,0.110409064579649,-0.0535721042927005,0.110831634953795,0.338486600408534,-0.186861302448969,0.122588055754163,-0.159819591713322,-0.00156302354496862,-0.183664896082739,0.343727861617604,-0.286601054444569,0.159613263737922,0.0892660080679333,0.166224895474785,-0.0267625765741069,0.115061277686189,-0.179622202175986,0.0428363420499984,0.253576406549995,0.208291209099041,-0.361562677493481
"X.CPU..SN..185..1.0..0.000285.",-0.19284756165796,-0.223771840449452,0.118612693765248,0.0582330147577103,-0.0613702435401335,0.136463291622098,0.0622280026495693,-0.0930299344401661,0.0388709665566129,0.0534115503495896,-0.440664173234149,-0.0623127468352829,-0.152561205110192,-0.0449229996191744,-0.313877214657795,0.0441201729785477,-0.161930701864311,0.0263827739242858,0.0753935617250011,-0.111349770701511,-0.0597863282924063,0.0568361024863011,0.151052059812048,-0.150551756932419
"X.CPU..SN..191..1.0..0.018520.",0.0949109465000384,-0.101671999876506,-0.00180473500619585,-0.127802452247988,-0.0867847074918496,-0.210087798579958,0.204137265055991,-0.20450493831287,-0.163319568396877,0.0256721124066452,-0.0372217518504667,0.190835108631311,0.111810720529647,-0.19545713443919,0.0160927204685484,0.1016749203839,0.0944211967606353,-0.212994003892003,0.170325652693431,0.210818354970425,-0.307796807073495,0.12178022068191,-0.0360609531238947,-0.227372406375592
"X.CPU..SN..193..1.0..0.002738.",-0.139451873779097,0.182346420580024,0.0416069520308381,0.316918994109448,0.0102360375398304,0.121416820727926,-0.338940465814721,0.20357821759321,0.255284894748724,0.284026373131795,-0.130679115143636,-0.130812183229293,-0.0900574719783661,0.0723797564406922,-0.176834744594715,-0.404468476871897,-0.064999651527974,0.150700489045366,-0.298029073264602,0.0135649309599588,0.252493752338892,-0.301777186743001,0.1823801954664,0.186755747694437
"X.CPU..CN..194..1.0..0.0.",0.139059987058021,-0.1114034450765,-0.04144139211671,-0.00109782596782873,-0.159531271214006,-0.22194589145213,0.319688613532191,-0.225035021329309,-0.106148501359043,0.00931064066871773,0.00070810555513872,0.189320404469873,0.344301160668815,-0.33934157552189,0.041678875327185,0.195628884720187,0.116025040125585,-0.286810111075902,0.258977488400449,0.288870033036746,-0.208813550474416,0.200200592624603,0.102522546891514,-0.250074195507476
"X.CPU..CN..195..1.0..0.103895.",0.0895083453002902,-0.222633865063276,0.0228954973881897,-0.113721485387469,-0.813519919053803,-0.168147726788525,0.176125336949836,-0.327529357918764,-0.0208861018045777,0.171105264314269,-0.112751967905433,0.255580328722071,0.0676024919504193,-0.221232192468798,-0.055081546956499,0.0737942602792808,0.119607428749933,-0.3913378690217,0.247257034639928,0.208596311300005,-0.280292440488174,0.162158279827204,0.149801945561569,-0.262910692285789
"X.CPU..SN..201..1.0..0.002198.",0.0359553717363856,0.216990107823472,0.241010841378763,0.0328495978195235,0.124608838488637,0.0492196327627561,-0.100881081700548,0.141153368574943,0.0935846982140467,0.211132008837549,-0.231051022450086,-0.0419137634563974,-0.248287989418569,0.153456485566473,-0.299383280854554,0.0983397618681313,0.00048419529319544,0.0220591279482112,-0.0506828878075924,-0.0516640231925337,0.126373998611034,0.050835340747448,0.0366034186539425,0.175458019710408
