GeneID,LogFC,Pval
Mbd6,0.270461916,0.01322698
Gpr116,0.271946352,0.015110123
Adamts10,0.272423539,0.018116928
Acer2,0.272949227,0.048218292
Ephb3,0.273619458,0.026469866
Mcam,0.273964047,0.016300258
Itga6,0.274486709,0.00480572
Nos3,0.27503669,0.032155944
Ptch2,0.276302996,0.032855625
Hps1,0.276429354,0.027797469
Ccr5,0.276933741,0.005818015
Unc93b1,0.277518257,0.005800159
Lgals9,0.279149783,0.02790749
Slco2b1,0.279361881,0.001615183
Sycp2,0.281364366,0.019898675
Tcirg1,0.281377184,0.011614889
Eng,0.282859505,0.01956248
Ryr1,0.283150179,0.043986813
Ryr3,0.283822626,0.027610608
Prom1,0.284327066,0.009763892
Tmem173,0.285069555,0.022712047
Gm15751,0.285224382,0.011839878
Catsper2,0.286501929,0.004765908
Snhg11,0.286736611,0.042817354
Trim36,0.287346553,0.035863986
Gm3764,0.288529714,0.026215296
Fcgr1,0.288866744,0.028064015
L3mbtl1,0.290871889,0.036386765
2900076A07Rik,0.291058886,0.013581212
Erg,0.291085347,0.016521723
Egfl7,0.291301942,0.034556922
Srrm2,0.29172292,0.018660726
Mpeg1,0.291820616,0.00047485
Gm29093,0.292123317,0.039794162
Card9,0.293304213,0.023870065
4930581F22Rik,0.293844197,0.005823452
Aif1,0.294874476,0.025000712
BB218582,0.295832725,0.016471586
Dusp15,0.296271907,0.003013532
Jag1,0.297135121,0.005747428
Ddx11,0.297662637,0.015883028
Uaca,0.298239488,0.009315898
Sec14l5,0.29904262,0.013046756
Abcb1a,0.299744143,0.007709641
Tepp,0.302184758,0.039852699
2610005L07Rik,0.303288062,0.010498857
4930579G18Rik,0.303572455,0.022534516
Col11a2,0.305019293,0.010530925
Ccdc159,0.305139417,0.020282627
Pip5kl1,0.305293833,0.027293748
Lgals3bp,0.307151068,0.018978866
6230415J03Rik,0.312208609,0.011179671
Adcy7,0.312268321,0.002433687
Sfi1,0.313214702,0.01151595
Med12,0.313366482,0.036218518
Cfh,0.314231915,0.001861556
Ly6c1,0.31458897,0.022588008
Sned1,0.315187244,0.026092541
Plekhn1,0.316329422,0.003865562
Apcdd1,0.316668881,0.032269013
9830144P21Rik,0.316705342,0.022265391
Itgam,0.318277175,0.001055987
Lrrc32,0.319805336,0.020391963
Gm11766,0.31996812,0.039584748
Traf3ip2,0.320254472,0.028393515
Bbc3,0.320970805,0.018374132
Coro6,0.321438815,0.044100362
Stard9,0.321648501,0.010265837
Pla1a,0.321862726,0.009685295
Eltd1,0.323063289,0.008019297
5031434O11Rik,0.323371339,0.005963462
Plekhg2,0.32423582,0.002363863
Gsdmd,0.327013365,0.006958503
Tgm2,0.327659465,0.037928475
Pglyrp1,0.327759676,0.043580014
Lacc1,0.329155065,0.000530357
Hspg2,0.32939742,0.025726327
Capn3,0.32981501,0.001265833
Emr1,0.329819384,0.005400647
H2-M3,0.334068249,0.020206854
Thbd,0.334915282,0.031088929
Tie1,0.335963993,0.006505141
Gm26819,0.336519958,0.035519926
Cd93,0.338277964,0.031664363
Rhbdf1,0.341575768,0.001984556
Gm11611,0.342848613,0.013626565
Flnb,0.343375635,0.01040154
Srgn,0.343451544,0.006885854
Meg3,0.346115183,0.033476565
Tap2,0.346303971,0.009511723
C4b,0.346508818,0.032243214
Gimap6,0.349593613,0.013895934
Gm14164,0.349682939,0.032496173
Thbs3,0.351369879,0.014234727
Gm13306,0.35188223,0.031495805
Rgs11,0.354597828,0.027555434
Cdh5,0.354601141,0.007004887
Cd33,0.359516765,0.007410849
Robo4,0.36155652,0.000652365
RP23-372I17.3,0.361705565,0.042845862
Leng8,0.362537375,0.029390907
1700003D09Rik,0.36279591,0.021963923
Cfp,0.362897224,0.034050398
Gm16044,0.363708115,0.049268612
AI480526,0.364363676,0.015306402
Ifi35,0.364489643,0.036844005
Zbtb37,0.366431411,0.035853158
Ccdc176,0.367286287,0.005136698
Gm26873,0.367945992,0.023484524
Gm15328,0.369313865,0.025899961
RP23-14P23.9,0.370772584,0.029527695
RP23-14P23.10,0.374863033,0.024388641
A630081J09Rik,0.375126304,0.048627409
Gm16596,0.375616977,0.016130274
Fgd2,0.377013325,0.001076231
Gm15764,0.384743146,0.040735822
Prkag2os2,0.385843789,0.038939209
Oacyl,0.386279317,0.013495431
Esyt1,0.387976181,0.000394948
