,lv_diff,regional_diff
ENSMUSG00000000001,0.048618463924849864,2.758956724471647
ENSMUSG00000000056,0.09216982983594768,1.8342558048434088
ENSMUSG00000000058,0.08030392110770512,1.85333701556489
ENSMUSG00000000078,0.08946672514983123,1.2792655757496296
ENSMUSG00000000085,0.1327488339411626,1.9743631647276154
ENSMUSG00000000088,0.08931562307000435,1.3029746850245032
ENSMUSG00000000127,0.133190901083786,1.389217108196387
ENSMUSG00000000131,0.09338419327355019,1.685927688922637
ENSMUSG00000000134,0.06862101290892719,1.2192303731729284
ENSMUSG00000000142,0.24524171904462644,1.0351558634357934
ENSMUSG00000000148,0.17381805836454833,1.2274617570039252
ENSMUSG00000000149,0.09435232146896372,1.2347757299267397
ENSMUSG00000000168,0.0666246652255873,1.2943231438341223
ENSMUSG00000000171,0.17972990462750954,1.1024515755874889
ENSMUSG00000000184,0.07995908216832986,1.9079694715225055
ENSMUSG00000000194,0.0411632606025128,1.9810261213131546
ENSMUSG00000000197,0.050261378435721316,1.7809598146155703
ENSMUSG00000000202,0.12528047852854052,1.4054287158708052
ENSMUSG00000000214,0.07125159318888052,1.8645463993633886
ENSMUSG00000000223,0.15059852237457927,1.2560891212606815
ENSMUSG00000000247,0.06536462178737601,1.1075333096784865
ENSMUSG00000000253,0.0663606876907965,1.1002597708177766
ENSMUSG00000000266,0.02089338820721398,1.9140999169043775
ENSMUSG00000000275,0.33378356396610387,1.2322828462304896
ENSMUSG00000000276,0.02691118982192553,2.4613810294461667
ENSMUSG00000000278,0.14784354495563334,1.2613834615714008
ENSMUSG00000000282,0.13856243836855509,1.8058469229047052
ENSMUSG00000000290,0.2849100872389605,1.1060162921428833
ENSMUSG00000000295,0.067963217055934,1.375486856403256
ENSMUSG00000000296,0.051665348223352,1.9947924453412353
ENSMUSG00000000305,0.0673187251008639,1.2016988618801927
ENSMUSG00000000308,0.14434868703927667,1.0855311013630884
ENSMUSG00000000325,0.0531858970148007,1.2179092415763746
ENSMUSG00000000326,0.19280651320870926,1.1268526682796414
ENSMUSG00000000339,0.013756846164940328,2.1683284965225225
ENSMUSG00000000340,0.08643440750070985,1.3959585677319883
ENSMUSG00000000346,0.18995276952848344,1.4813647115824427
ENSMUSG00000000355,0.15880119363218048,1.4505740226004904
ENSMUSG00000000374,0.11544493438539538,1.5741660298010782
ENSMUSG00000000378,0.1317854880260737,1.240887674049075
ENSMUSG00000000384,0.0670448036394673,1.403911802325379
ENSMUSG00000000399,0.20614616865090957,1.4071091530412194
ENSMUSG00000000416,0.09484444396272712,1.576586113118577
ENSMUSG00000000420,0.08526942009412264,1.2142898139798914
ENSMUSG00000000439,0.044732697258161536,1.5585232162689073
ENSMUSG00000000441,0.07092827580311478,1.2564646865430353
ENSMUSG00000000489,0.23015446388699312,1.1708522962165966
ENSMUSG00000000530,0.06268104771149485,1.0420899612684584
ENSMUSG00000000531,0.03727505303365691,1.7629184102060922
ENSMUSG00000000532,0.0796069265194308,1.5849678815687593
ENSMUSG00000000538,0.08346433107920881,1.2088358928475005
ENSMUSG00000000552,0.03618087875906839,1.561966687796259
ENSMUSG00000000555,0.09935031556962381,1.7746865328691503
ENSMUSG00000000560,0.016179986785558154,1.7199637200813174
ENSMUSG00000000561,0.07631822793332277,1.3591305997136818
ENSMUSG00000000563,0.1186665052825065,1.1992244005226238
ENSMUSG00000000567,0.08976180094729236,1.5490863482548862
ENSMUSG00000000568,0.045025681570335485,1.9711031761470126
ENSMUSG00000000581,0.09205210820127352,1.2289908518292596
ENSMUSG00000000594,0.11024505169913879,1.2453772006685366
ENSMUSG00000000600,0.00947612366613279,1.7036716583748155
ENSMUSG00000000605,0.17341512072611798,1.399128453138174
ENSMUSG00000000627,0.029957512799939967,1.8620305622656066
ENSMUSG00000000631,0.18438034985643276,1.7066428628108519
ENSMUSG00000000632,0.13457232291539778,1.8523939977196262
ENSMUSG00000000693,0.21390266022935694,1.0150065015098888
ENSMUSG00000000708,0.12508859761581526,1.1550100224233126
ENSMUSG00000000711,0.1746410145922217,1.3199071765477006
ENSMUSG00000000732,0.054563076450361736,1.4905935276700792
ENSMUSG00000000738,0.154217184237729,1.2151103046736835
ENSMUSG00000000740,0.08737321159265682,1.3486823828191268
ENSMUSG00000000743,0.14017230894157984,1.2886140179900503
ENSMUSG00000000751,0.07654083137595491,1.425642156210983
ENSMUSG00000000753,0.13742743424919374,1.1784430420224123
ENSMUSG00000000759,0.15292058501565065,1.4193170522131142
ENSMUSG00000000776,0.09831965742156651,1.2810526003071174
ENSMUSG00000000782,0.08424818053699962,1.7189830285730212
ENSMUSG00000000787,0.03745551883449716,1.4263877033084864
ENSMUSG00000000792,0.18277771108951218,1.0752878260439118
ENSMUSG00000000794,0.06447753809541568,1.0589402748680754
ENSMUSG00000000804,0.030942864463611552,1.6814806565423328
ENSMUSG00000000805,0.20736634172169188,1.1781259790505048
ENSMUSG00000000823,0.19189312827858318,1.0846463769974455
ENSMUSG00000000826,0.12353151333757706,1.451670847128951
ENSMUSG00000000827,0.060599177078501015,1.3930060028068119
ENSMUSG00000000838,0.09131477149112766,1.2863564204442879
ENSMUSG00000000861,0.043274194488422624,1.2145809099912632
ENSMUSG00000000869,0.11495391685996359,1.288344121650487
ENSMUSG00000000876,0.0829749184191535,1.6325218258564527
ENSMUSG00000000881,0.1452962286393361,1.1093279327599093
ENSMUSG00000000902,0.08293393645150837,1.2580556452361602
ENSMUSG00000000915,0.23844271893567837,1.246775507932505
ENSMUSG00000000916,0.08834658537675155,1.4957009967844328
ENSMUSG00000000934,0.0679423072207812,2.172210851305509
ENSMUSG00000000948,0.09219008348259217,1.3629172636339495
ENSMUSG00000000957,0.1985946514253159,2.105440755499352
ENSMUSG00000000958,0.10825721023946666,1.566161000998536
ENSMUSG00000000959,0.06276087996389534,1.436701219118909
ENSMUSG00000000976,0.26565744301161887,1.0778833930641014
ENSMUSG00000001016,0.17456160634195267,1.1247161686022729
ENSMUSG00000001017,0.08970275531918642,1.710978553445798
ENSMUSG00000001018,0.07532027426315346,1.3927502554760693
ENSMUSG00000001020,0.18059505951780946,1.5899067289208102
ENSMUSG00000001021,0.12543300444299021,1.0000000000000002
ENSMUSG00000001025,0.1468966339767716,1.1957662319291755
ENSMUSG00000001029,0.2045871217276346,1.2117675675760873
ENSMUSG00000001034,0.13477082960419018,2.3098117543416152
ENSMUSG00000001036,0.06770751269318304,1.778857355621932
ENSMUSG00000001039,0.10917345319679694,1.6968480405526256
ENSMUSG00000001052,0.06138287389700864,1.5623405830369947
ENSMUSG00000001053,0.13679353216084805,1.9465046497175793
ENSMUSG00000001054,0.08879647103863864,1.5761025494653707
ENSMUSG00000001056,0.036991106821766984,2.2228948283621794
ENSMUSG00000001062,0.17300529422153432,1.1724438474334997
ENSMUSG00000001065,0.1474497462443341,1.6651365160079519
ENSMUSG00000001082,0.19234357340291286,1.747301541092336
ENSMUSG00000001089,0.05630327527611889,1.1041725997418352
ENSMUSG00000001098,0.1334766028519157,2.2919637514519935
ENSMUSG00000001100,0.04680630109375927,1.4608760249183208
ENSMUSG00000001105,0.11649649036525328,1.8241762086949787
ENSMUSG00000001119,0.12533740462462972,1.3757757968655522
ENSMUSG00000001120,0.0333413295563052,1.3929725218230538
ENSMUSG00000001123,0.25798348529737813,1.1184752926150128
ENSMUSG00000001127,0.07190186172693924,1.7535849271961748
ENSMUSG00000001128,0.13374485047078244,1.3692370988497753
ENSMUSG00000001134,0.10700548763429074,1.163273354889226
ENSMUSG00000001138,0.12142878295296367,1.278666874866127
ENSMUSG00000001143,0.036210637258823564,1.4664568801609321
ENSMUSG00000001150,0.14293892773356243,1.40520040147138
ENSMUSG00000001151,0.1476562569815807,1.2489511382835412
ENSMUSG00000001156,0.18642680303043752,1.78971245859374
ENSMUSG00000001157,0.09682816785635073,1.3640333489703163
ENSMUSG00000001158,0.13047310161973052,2.181654524594555
