GeneID,LogFC,Pval
Podxl,0.423639026,0.023983181
Gsdmd,0.424477931,0.026765956
Ptrf,0.426153516,0.026755794
Shroom4,0.428312662,0.00060868
B2m,0.432864461,0.032641339
Id1,0.436334731,0.017817946
Efna1,0.43634437,0.008776739
Adamts1,0.437613068,0.038181026
Acer2,0.439202408,0.016204142
Abcb1a,0.442313528,0.000323934
Irgm1,0.44533732,0.009126985
Srgn,0.446900996,0.022844687
Eltd1,0.447526007,0.000589855
AI467606,0.448288324,0.012776389
H2-DMb1,0.448728386,0.047423998
Itga1,0.452496964,0.008233992
Lrrc29,0.454699587,0.035037426
Myl9,0.463389485,0.018585019
Aif1,0.468607489,0.014188638
Gm13204,0.469752315,0.017155156
Ctsh,0.473360057,0.016698737
Lsr,0.474124967,0.044787042
Ptprb,0.476570799,0.001626657
Ephb4,0.476779279,0.012888079
Clec2d,0.47895352,0.010614968
Ecm1,0.479453131,0.023911165
Pla1a,0.480172427,0.007579396
Foxf2,0.480242921,0.001514754
Igfbp7,0.502461175,0.006832235
Gm13071,0.512049451,0.042151434
Slc12a7,0.519128184,0.040018173
Lamc3,0.521871786,0.005437817
Fam212a,0.523142635,0.008645709
Gm11772,0.527449844,0.033050031
Irf1,0.529944882,0.000674491
AU021092,0.534778158,0.013537401
Cd93,0.538319524,0.001675441
RP23-136M3.5,0.549338763,0.03137445
H2-K1,0.552101175,0.021486153
Clic3,0.554427297,0.018990661
Gbp7,0.575952299,0.003584314
Gm15445,0.576030001,0.037611358
Gm10509,0.582320614,0.026233807
Gm23130,0.59512835,0.034660822
Gm20748,0.609021607,0.005179704
Gm22571,0.654551154,0.036825512
Ifitm3,0.671350756,0.026985938
AU020206,0.676684188,0.02693228
Vim,0.685203969,0.013558762
Oasl2,0.688456472,0.001147516
Clec14a,0.713975321,0.00161098
Irgm2,0.716443827,0.019512344
Cnn2,0.720301691,0.000662336
Gm24299,0.747705218,0.008746696
2310026L22Rik,0.762354819,0.010317563
Ifit1,0.767142983,0.0022181
Ube2l6,0.791599926,0.021821737
Fn1,0.805101969,0.007253473
Gm22767,0.806218111,0.046836681
Gm22204,0.814921722,0.007407348
Ctla2a,0.820713346,0.011967637
Igtp,0.8229873,0.011471793
Vwf,0.825482852,0.001328856
Mir6955,0.826275047,0.024643847
Gbp9,0.832205521,9.18E-06
H2-Q4,0.832781808,0.018325114
Ctla2b,0.844530517,0.008357737
Slfn2,0.845564203,0.011541068
Gm22728,0.851820456,0.009410707
Bst2,0.862980286,0.005611903
Gm22620,0.868259727,0.023429689
Gbp3,0.881031098,0.002457494
Snord98,0.907497689,0.0322979
Snord100,0.936068481,0.005305599
Ch25h,0.952618224,0.040810843
H2-Eb1,0.959042746,0.023175128
Gm24698,0.990755264,0.041028752
Mir8116,1.00980406,0.019241084
Gbp2,1.021588265,0.00915208
Cd74,1.069521107,0.046999318
Gm15690,1.1367231,0.022433232
Mir5620,1.146367908,0.044703008
Mir3093,1.223483678,0.032335922
H2-Ab1,1.258355652,0.046973934
Ptgs2,1.273590971,0.004345708
Gm24616,1.332269801,0.003509997
Capn11,1.345890681,0.02923968
Snord83b,1.479184658,0.010038752
S100a8,1.506481162,0.040008112
