GeneID,LogFC,Pval
Ube4bos3,0.583147221,0.034286408
Ly6a,0.584400796,0.031979133
Gm9821,0.592955805,0.042220941
Ctla2a,0.608309053,0.046431805
Tnfaip8l2,0.626250538,0.002717336
Gm26397,0.633407974,0.027839192
Tnfrsf25,0.644979522,0.020367181
Snord49a,0.645491591,0.042768174
Slc38a5,0.653281685,0.010269137
Phf2os1,0.653361037,0.002362425
Adcy4,0.662359269,0.010995665
Gm13562,0.66473066,0.026720102
Ppic,0.679455556,0.033505314
Cd33,0.682972256,0.000887558
Acr,0.684026943,0.022398838
Prox2os,0.697767378,0.044012374
Gm16124,0.729710475,0.007393595
1700020D05Rik,0.730704022,0.026596918
Gm12540,0.739543331,0.035397709
RP23-98F21.12,0.745245341,0.033380417
Gm24682,0.817888972,0.031173621
Irgm2,0.875207063,0.010370147
Gm23172,0.896175727,0.043182994
Vwf,0.932327007,0.042477518
Gm22965,0.942260176,0.026492456
Gm26446,0.963202996,0.049154392
Gm24195,1.040829605,0.019439736
AF357399,1.054556872,0.037745108
Gm25965,1.058219908,0.035102067
Igtp,1.066105125,0.006697591
Gm23468,1.165491381,0.032841032
Csf2rb2,1.207828501,0.015929201
Ch25h,1.222424288,0.011382181
Gm23706,1.222804941,0.017318717
Gbp2,1.271016153,0.016308274
Gm3828,1.314160612,0.035820605
Mir208a,1.70726746,0.000598959
