GeneID,LogFC,Pval
Sepp1,0.266453994,0.042270039
Wwtr1,0.267029242,0.018985245
Tmem81,0.267526756,0.028699585
Tmem194b,0.267662794,0.002775004
Gpr125,0.267990077,0.007160168
Naaa,0.268033027,0.042107397
Gldc,0.269281864,0.043039007
Cd63,0.27064544,0.045477832
Wasf2,0.272096663,0.021873514
Ltbr,0.272885196,0.032611516
Samd5,0.2729066,0.025074333
Atp11a,0.273389202,0.048244994
Sp1,0.274021316,0.027451108
Rdx,0.274185821,0.039661891
Mtmr11,0.274290327,0.019912452
Lrp4,0.274680903,0.030020894
Clmn,0.274940889,0.018378652
02-Sep,0.275861762,0.020586211
Npepl1,0.276928732,0.040617203
Sod3,0.27710898,0.042769642
Myo10,0.277137616,0.040271767
Ado,0.277299635,0.037608836
Fam204a,0.277346041,0.023071518
Lama5,0.278171125,0.03750686
Nkd1,0.278254024,0.043714068
Epas1,0.278620153,0.012353142
Ctss,0.278873819,0.017007998
Npc2,0.279044216,0.025298932
Jam2,0.279093905,0.005834165
Cyp4v3,0.28099603,0.035523611
Peli2,0.281462445,0.028185889
Elk3,0.283160048,0.014642498
Phlpp1,0.283163976,0.04161604
Hpgds,0.284780449,0.016317775
Slc14a1,0.28490544,0.036833828
Parp12,0.286139637,0.012847206
Antxr1,0.286143758,0.016191104
Casp7,0.286353105,0.029967263
Ermp1,0.28657865,0.01598055
H2-M3,0.286665917,0.049928921
Stom,0.287295122,0.024498167
Rgma,0.287374185,0.010270213
Ets1,0.28783544,0.025948246
4931406P16Rik,0.288042457,0.037285474
Gareml,0.288864095,0.026355383
Golim4,0.290501572,0.006366562
Gpr146,0.290603094,0.022131272
Mtmr10,0.290691129,0.033397148
Pld4,0.290756078,0.047165302
Swap70,0.29109827,0.006092917
9430091E24Rik,0.292009649,0.018579516
Appl2,0.292570834,0.008568365
Smad7,0.29419402,0.025389754
Pcdhgb6,0.294608921,0.045888502
Casp1,0.29488361,0.037042245
Myl12a,0.29579016,0.029420403
Plcg2,0.295792641,0.028112505
Pla1a,0.296331126,0.025165848
Trdmt1,0.297076195,0.008166011
Ccr5,0.297206863,0.035588972
Rnf130,0.297643737,0.010006025
Cpne3,0.297664998,0.0419117
Lyn,0.298984054,0.020037256
Rftn2,0.299709469,0.008237765
Vcam1,0.299745142,0.011416945
Tgfb2,0.299758638,0.005765993
Ctdsp1,0.2998581,0.020845428
F2r,0.300002288,0.031529284
Tead1,0.300714932,0.013548742
Slc40a1,0.301132447,0.007427562
A430105I19Rik,0.302031231,0.019852671
Prrt4,0.302053202,0.049327406
F11r,0.302597196,0.019072497
Limd1,0.302869955,0.020494605
Trim21,0.303673522,0.025518556
Slco2b1,0.304690066,0.028096384
Cpt1a,0.305329261,0.005310059
Rps6ka1,0.306696251,0.015622552
Tcn2,0.306797927,0.021934119
Krcc1,0.308636139,0.028014309
Vamp3,0.308735587,0.040275813
Kif5a,0.308823881,0.016782423
Ick,0.30906878,0.023487056
Cyp20a1,0.309285299,0.006782633
Fes,0.309591096,0.045886791
Vwa5a,0.310450571,0.030878125
Itgam,0.312267171,0.014305825
Rfx4,0.312584051,0.020638649
Aff1,0.312845226,0.022048459
Erap1,0.313201876,0.003446844
Pdgfrb,0.316454207,0.01179932
Paqr6,0.316671781,0.049129836
Slc7a11,0.317785375,0.042900931
Notch3,0.318329297,0.038940781
Kctd14,0.31902707,0.042304271
Tap2,0.319459647,0.042252132
Tmem163,0.320061902,0.041571236
2310015A10Rik,0.321183664,0.034912284
E130308A19Rik,0.322655103,0.049545644
Slc7a2,0.323254857,0.009334278
Itpr2,0.323357438,0.011556475
Rnase4,0.323845743,0.013232454
Cav1,0.323967601,0.01999428
Wnk1,0.325329988,0.024009228
Fbxo30,0.325685715,0.029682081
Papss2,0.326071263,0.018673974
Acot1,0.326970524,0.035517414
Dsn1,0.327706606,0.033927931
Lamb2,0.327900978,0.016556696
Tln1,0.328825793,0.008641522
Tax1bp3,0.329766066,0.023090312
Sypl,0.329783306,0.021013903
Lap3,0.331986146,0.045711099
Srebf1,0.332229201,0.044982476
Aqp4,0.333368862,0.031276581
Pnp,0.33431858,0.020226835
Rgs5,0.335655186,0.009193438
Mylk,0.336375929,0.040285012
Trim25,0.336614695,0.04072328
Arhgdib,0.337262074,0.046322935
Svil,0.337518744,0.025190992
Nusap1,0.338417962,0.029804697
St6gal1,0.338618972,0.000272261
Kif1c,0.340954947,0.024696704
Cgnl1,0.342254461,0.015154353
Brip1os,0.342472264,0.009631662
Rab31,0.344032264,0.039934458
Mpeg1,0.344372504,0.000790041
Scd1,0.344995815,0.022750246
Nfatc3,0.345127272,0.019643619
Notch2,0.345543819,0.045974686
Scarf1,0.346360806,0.028896918
Btg1,0.346619227,0.007553757
Pogk,0.346936318,0.019876647
Dusp16,0.347023666,0.001998859
Sema6d,0.34802009,0.014619821
Igsf11,0.349047241,0.028823876
Gfra1,0.34932349,0.015044508
Serinc5,0.350655831,0.047550612
Ntn4,0.350769241,0.016592546
Tgfbr2,0.3513454,0.024615983
Pard6b,0.352888787,0.000910962
Csrp2,0.353989224,0.047083214
Agtrap,0.354007423,0.015346786
Cnn3,0.354212348,0.025027367
Cast,0.355994185,0.004608389
Atp13a5,0.356461114,0.000534269
Pcsk6,0.356481405,0.034828278
