,lv_diff,regional_diff
ENSMUSG00000000001,0.030551792042594283,1.333962208916228
ENSMUSG00000000056,0.10705488507711079,1.210958306981364
ENSMUSG00000000058,0.07898534262974566,1.4317499335794075
ENSMUSG00000000078,0.1477276128226369,1.34539170227867
ENSMUSG00000000085,0.10294863727970499,1.8363392656607653
ENSMUSG00000000088,0.09488876299899149,1.3614966270895947
ENSMUSG00000000120,0.10377746299984164,1.0000000000000002
ENSMUSG00000000126,0.06579479566555957,1.612733226442582
ENSMUSG00000000127,0.06326796050868655,1.4175178861925204
ENSMUSG00000000131,0.06035640446828516,1.3353214927538737
ENSMUSG00000000134,0.11042627342916467,1.2357996589933031
ENSMUSG00000000142,0.0338228234258835,1.150027129079486
ENSMUSG00000000148,0.025257249924622305,1.4803474747855336
ENSMUSG00000000149,0.09097703398378143,1.2586155184208072
ENSMUSG00000000168,0.16395294235259195,1.1713587399485759
ENSMUSG00000000171,0.07176650348821739,1.2715714459642704
ENSMUSG00000000184,0.05970470078383361,1.2083415349685018
ENSMUSG00000000194,0.038906763732731386,1.4471515589858472
ENSMUSG00000000197,0.08942025107648466,1.7239665959551012
ENSMUSG00000000202,0.02940833084794381,2.338427768592428
ENSMUSG00000000214,0.07339132867976234,1.3272340329442744
ENSMUSG00000000223,0.05188850047117155,1.2561729979814231
ENSMUSG00000000247,0.08658367317167254,1.070145064711286
ENSMUSG00000000253,0.07666050674515573,1.2331029046955733
ENSMUSG00000000266,0.09302113340092821,1.6305043552867937
ENSMUSG00000000275,0.05308268325648735,1.2302983778376069
ENSMUSG00000000276,0.047265894883098514,1.2602651117329005
ENSMUSG00000000278,0.12134176494834359,1.521128410109866
ENSMUSG00000000282,0.025117862082629006,1.6265871465395554
ENSMUSG00000000290,0.13674652663202774,1.097589253737959
ENSMUSG00000000295,0.09109854013695673,1.4388624683334457
ENSMUSG00000000296,0.14131139634255224,1.2275235230207497
ENSMUSG00000000305,0.0515646365265503,1.2316282916742833
ENSMUSG00000000308,0.1462095352158617,1.139425182922933
ENSMUSG00000000325,0.13020048905668097,1.2152227138572878
ENSMUSG00000000326,0.044844705780564986,1.1630178911901523
ENSMUSG00000000339,0.11268962573837393,1.4091480500484546
ENSMUSG00000000340,0.14224865421661947,1.2247611742683986
ENSMUSG00000000346,0.043910337300818836,1.6625776563079504
ENSMUSG00000000355,0.048067577231564296,1.662610352268494
ENSMUSG00000000374,0.04261884428996576,1.3279405995270848
ENSMUSG00000000378,0.029487926419982546,2.262253732492937
ENSMUSG00000000384,0.05857327766617598,1.5334033181950926
ENSMUSG00000000399,0.11988818697454229,1.2781938414984115
ENSMUSG00000000402,0.03551871800717543,1.3472360837121413
ENSMUSG00000000409,0.2855980754323098,1.0
ENSMUSG00000000416,0.12003877335240587,1.2404168038679142
ENSMUSG00000000420,0.038085172087223285,1.6188974944720498
ENSMUSG00000000439,0.1069702560813755,1.3336517435468642
ENSMUSG00000000441,0.046399386992479474,1.2761696931658855
ENSMUSG00000000489,0.03597951985480652,2.165109434767644
ENSMUSG00000000530,0.12919521443574516,1.0198270024076004
ENSMUSG00000000531,0.08348696394389102,1.5257191929872873
ENSMUSG00000000532,0.07248006495102421,1.3621867197903164
ENSMUSG00000000538,0.07285708998634743,1.2256934312698202
ENSMUSG00000000552,0.021027095899008363,1.7354016621122477
ENSMUSG00000000560,0.022441809791954648,2.0507604100745613
ENSMUSG00000000561,0.03809580658768308,1.7744383557109555
ENSMUSG00000000563,0.1097216618700112,1.2787332015168882
ENSMUSG00000000567,0.024449863431849406,1.1939087024969917
ENSMUSG00000000568,0.09390534821346375,1.5850090047986125
ENSMUSG00000000581,0.039979984473875685,1.3369341084044768
ENSMUSG00000000594,0.08316193197363853,1.1326161515375037
ENSMUSG00000000600,0.04850082526096988,1.5759192152219996
ENSMUSG00000000605,0.06460786447376032,1.5520785339684016
ENSMUSG00000000627,0.07792404008315956,1.5696321224926506
ENSMUSG00000000631,0.0900067840298649,1.658350119410171
ENSMUSG00000000632,0.02377849950089289,1.3217431347542634
ENSMUSG00000000682,0.08056631753840948,1.1637487469389767
ENSMUSG00000000693,0.14237371949980815,1.0170275656534684
ENSMUSG00000000708,0.05767924244302336,1.3516505396881022
ENSMUSG00000000711,0.1320848650259916,1.4465893635492233
ENSMUSG00000000732,0.07209422304496149,1.5468801742875915
ENSMUSG00000000738,0.06266268590621649,1.2863249583035101
ENSMUSG00000000740,0.04183010174936164,1.4249651539307975
ENSMUSG00000000743,0.11528667326955033,1.3312085839097478
ENSMUSG00000000751,0.05671708159310607,1.7695956348504605
