"","MEantiquewhite2","MEantiquewhite4","MEbisque4","MEblack","MEblue","MEblue2","MEbrown","MEbrown2","MEbrown4","MEcoral","MEcoral1","MEcoral2","MEcoral3","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkolivegreen4","MEdarkorange","MEdarkorange2","MEdarkred","MEdarkseagreen3","MEdarkseagreen4","MEdarkslateblue","MEdarkturquoise","MEdarkviolet","MEfirebrick4","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEhoneydew","MEhoneydew1","MEindianred4","MEivory","MElavenderblush2","MElavenderblush3","MElightcoral","MElightcyan","MElightcyan1","MElightgreen","MElightpink3","MElightpink4","MElightsteelblue","MElightsteelblue1","MElightyellow","MEmagenta","MEmagenta4","MEmaroon","MEmediumorchid","MEmediumpurple2","MEmediumpurple3","MEmediumpurple4","MEmidnightblue","MEnavajowhite1","MEnavajowhite2","MEorange","MEorangered3","MEorangered4","MEpaleturquoise","MEpalevioletred2","MEpalevioletred3","MEpink","MEpink4","MEplum","MEplum1","MEplum2","MEplum3","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsalmon2","MEsalmon4","MEsienna3","MEsienna4","MEskyblue","MEskyblue1","MEskyblue2","MEskyblue3","MEskyblue4","MEsteelblue","MEtan","MEthistle","MEthistle1","MEthistle2","MEthistle3","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellow3","MEyellow4","MEyellowgreen"
"X0",-0.197157760440943,0.211097341755019,0.145840009763275,0.133293587958786,-0.0574687641662232,0.0280548799491644,-0.0961359591943345,-0.113141777336629,-0.21785151256952,0.127995623011064,0.0804661338197348,-0.162542033923323,0.191641667775889,-0.021160605988184,0.0633239580687254,-0.18760654173594,0.0585590013816101,-0.216190153124678,-0.0459533701770137,-0.157430172897849,0.168776636485604,0.0422572142169656,0.0400480247236364,-0.192437202544643,0.192121140374348,0.210994857760189,-0.0305881665992573,-0.157013251022441,0.0675465035748032,-0.120249047385704,0.105654683930169,0.0972218747304836,0.16621606007365,0.122199580494638,-0.0994449615965772,-0.190445193465754,0.0985809802950172,-0.0493202898400211,0.226703649796937,0.0282990239544392,-0.150628699785627,0.109099621410808,0.00402857774072519,-0.0458075042502345,-0.0162624527217614,0.205774834164223,0.115793853503069,0.0983424521185648,-0.0442580164229057,0.141793822255696,0.112251917548357,0.143358318708424,0.173346357241868,-0.129386891023763,-0.163340502829106,0.185115717073929,0.0139852457599114,-0.132267130575882,0.186851190845414,-0.216363535071172,-0.191628701271981,0.064799344871508,0.196149611864396,0.180030155745996,0.0745517629739861,0.141680564211223,-0.0357196017209863,-0.168883285850067,0.142597000481336,0.00846929723814141,0.157629343368396,0.137517305357798,0.203454883709674,0.0239036594772117,-0.129966076408493,-0.0900123188034376,-0.0761133002077143,0.226966000423987,-0.0140811543676995,0.0383373647686668,0.238762809106819,0.24294992964477,0.0670214248866363,-0.217544138323641,0.0374902563763813,-0.0221335005599915,-0.138848031370037,0.204217891107737,-0.0629819921118887,0.159205507934879,-0.082416922091141,-0.00717585917136046,-0.185177281342887,-0.150445449913786,-0.119287952258799,0.115143178575832,0.218298223910952
"X1",-0.198303839022454,0.208584210000724,0.143487938718219,0.132060655525881,-0.0585011461022253,0.0262979274739553,-0.0969037337823284,-0.114482245945146,-0.218609666578264,0.125449108042562,0.0785865309944057,-0.163942064213697,0.189373496596346,-0.0225948471013547,0.0616208682575264,-0.188401175757664,0.056926070806937,-0.216923969509318,-0.0473486498902061,-0.15846585816728,0.166530311217794,0.0404781244533235,0.037943657888368,-0.193927142298609,0.189524975028397,0.209065391119792,-0.0329419992289427,-0.159855934060723,0.0657874118092354,-0.12088435674482,0.104790284518969,0.0928295800499828,0.164721780502927,0.119992453205625,-0.101041292063268,-0.191885356671563,0.096282684798608,-0.0515307667153285,0.223341969902876,0.0270242448776987,-0.151346607298738,0.107142328311392,0.00264005715210447,-0.0489284375978397,-0.01899452468077,0.203270894564723,0.113853391398826,0.0972931044145888,-0.0452584786333871,0.138968764095039,0.110483832424452,0.14063864123549,0.171530086862346,-0.1307771497713,-0.165176914782092,0.183571737125053,0.0110349017230877,-0.133607737703725,0.184981072491445,-0.216663628521073,-0.192273489748659,0.0635587530394491,0.191539705833386,0.177837877245897,0.0737871854331666,0.137451880283421,-0.0372108226811488,-0.169750428163087,0.14067213225403,0.00598210385391396,0.156245532072161,0.136359371349832,0.201617369273073,0.0225792918077869,-0.130529411193326,-0.0907998415057685,-0.0782451575784966,0.224622795868407,-0.0156982257297152,0.0374783743918633,0.236228667298126,0.239737691688243,0.0644445961457274,-0.218272526719079,0.0356940217428195,-0.0233557719169047,-0.140528798672262,0.200565280513052,-0.0637447389788696,0.156824603965575,-0.0831522313257472,-0.00824469411028261,-0.185830168729839,-0.150917218151622,-0.121086348348381,0.111854632917225,0.216061323998615
"X2",-0.198688672167081,0.205694275743935,0.140679134926966,0.130895751383666,-0.0596731892769287,0.0251780492584693,-0.0977298425441212,-0.115421960196474,-0.218708826253361,0.122941320804904,0.0768522324468991,-0.164785509191193,0.186920501838979,-0.0239810515074223,0.0595292302329495,-0.188826933331046,0.0553620100452201,-0.216987214983368,-0.0483329613477679,-0.159333888578393,0.164032823565778,0.0385823811314563,0.0362997570882373,-0.194798752486725,0.186753159378376,0.206921014156521,-0.0348717594362251,-0.161849687223074,0.0645205310770941,-0.121403460917845,0.104152599112056,0.0876656865665905,0.163163934043426,0.117323912828233,-0.102191338008615,-0.192582074437535,0.0936694491686622,-0.0527379254318367,0.219707006159427,0.0263057204789652,-0.151943728657764,0.10496216050421,0.00104607785433686,-0.0519048155814361,-0.0218697020158112,0.200262436340129,0.111815866706732,0.0963838514721405,-0.0462970579435343,0.135693483241585,0.108990772040661,0.137874611910033,0.169671513675459,-0.131563073375617,-0.166461058545586,0.181913286827369,0.00782312013061887,-0.13424292816856,0.183023002221627,-0.216375137751705,-0.192430036450329,0.0625752494269515,0.186444031776044,0.175535816298825,0.0733162968435517,0.133265742557459,-0.0379771812057221,-0.170182577252922,0.138637387452769,0.00348442610794651,0.154921408834561,0.135314245505318,0.199629102055292,0.0215521811313561,-0.131021247151287,-0.0909271007538112,-0.0804242651989518,0.22183467291966,-0.0170563021752299,0.0370113078938,0.233343912372402,0.235947834159604,0.0614457650194787,-0.218118843388666,0.0335521190004281,-0.0247952462686264,-0.141957516392259,0.196478768635675,-0.0638019809815406,0.153983307318281,-0.0838458021980063,-0.00888776653558843,-0.186145147506748,-0.151191289293632,-0.12243288960942,0.108209880287434,0.213559889809554
"X3",-0.197713227196391,0.202292469591467,0.137279351900237,0.129762741353243,-0.0610208898740721,0.0249414493798035,-0.0986252720639038,-0.115865444973481,-0.217763078190835,0.120758038944318,0.0751609718751741,-0.164913740338762,0.184074121517133,-0.0251829966537673,0.056995639955563,-0.188763715355823,0.0540301150901088,-0.216088283094645,-0.0487178142249264,-0.159954320620041,0.161248593579309,0.0366213215565912,0.0354185926671915,-0.194794374123342,0.183793594315679,0.204445475697078,-0.0358958743283697,-0.16214996211348,0.0640674937710381,-0.121686071770125,0.103828588471464,0.0808601334452932,0.161471702770473,0.113988213166978,-0.102348103928236,-0.191949194331439,0.0907092959987703,-0.052434447148065,0.215497973017815,0.0265794717133193,-0.152354221715844,0.102510204449827,-0.000791622221013133,-0.0549332342961051,-0.0250981123697237,0.19656143922438,0.109738279437284,0.0956196097215976,-0.0473260043857883,0.131763682141458,0.108037396698584,0.134934931136122,0.167844235508476,-0.131440377257088,-0.166835605422812,0.180076010213206,0.00412044929755264,-0.133738612594384,0.180995711039171,-0.21522723643839,-0.191781955083853,0.0618834019325875,0.180506915271237,0.173176581525245,0.0732535271432618,0.128763361099562,-0.0376101352744663,-0.169816191685338,0.136595802753379,0.000896773995519922,0.153706901698304,0.134447980398984,0.197448698286691,0.020908368738335,-0.131428117664894,-0.0901511663964431,-0.0827778674087482,0.218466306370407,-0.0181624487814538,0.0370871549452022,0.229849032310343,0.231346982166831,0.0577744950915365,-0.216652953683619,0.0309475254154001,-0.026509694917559,-0.143115449585818,0.191744149135982,-0.0628270025642496,0.15063343422177,-0.0844446148945121,-0.00893359674872894,-0.18595199799109,-0.151163968353252,-0.123036757091621,0.103843918415957,0.210710303394916
"X4",-0.195927359504885,0.198453801071141,0.133414328633924,0.128568802129774,-0.0625519013529324,0.0250075173751426,-0.099625477810866,-0.116068537794473,-0.216249200627354,0.11865484744134,0.0733252915346523,-0.16472937063246,0.180781336839285,-0.0263613770209551,0.0541228728150669,-0.188474435254815,0.0527436035669347,-0.214707053064562,-0.0487733525711588,-0.160498059402252,0.158137580165012,0.0345401854536318,0.0348705935021623,-0.194327693136761,0.180580383690481,0.201657474079504,-0.0364483045374518,-0.161417080442074,0.0640257264481555,-0.121864911940663,0.103631154929572,0.0728434623150691,0.159612517112404,0.110108430745404,-0.101957428165839,-0.190558487649391,0.0874383037982041,-0.0514261440083004,0.210667334322827,0.0274009514420368,-0.15269589878868,0.0997747582517541,-0.00285336650065402,-0.0581985433944914,-0.0287960981338796,0.192315163524686,0.107536311863576,0.0948746575667261,-0.0484139811569733,0.127208385544929,0.10731889347114,0.13174053825055,0.165973782813673,-0.130823019434093,-0.166667172079584,0.178044131981333,-0.000116180497066676,-0.132586426830719,0.178826907625962,-0.21366837416681,-0.190709772297268,0.0612906685502847,0.173745526256372,0.170682139008428,0.0733758504838162,0.123702133778595,-0.03662184433743,-0.169007009155543,0.134450095372727,-0.0018908225957209,0.152488359044907,0.133625784485418,0.195048806159815,0.0204406415176643,-0.131848085646888,-0.0888968660705188,-0.0853961232522082,0.214619277677914,-0.0192017699482786,0.03742962057156,0.225800711411782,0.226092441589219,0.0534984952968645,-0.214506970989146,0.027966509725288,-0.0284700231121033,-0.14422272400478,0.186388152712806,-0.0613206874953664,0.146904303543131,-0.0850442295555246,-0.00866632495494595,-0.185503377219322,-0.15100734619549,-0.123289822688591,0.0987365490995748,0.20751426884713
"X5",-0.193316999583127,0.194164454875868,0.129087009003049,0.127359859763239,-0.0642444782992091,0.0254065772649594,-0.100691408855368,-0.115896657509406,-0.214154773049709,0.116637749774604,0.071455216273354,-0.16415516872154,0.177110770854189,-0.0275240068149044,0.050925875393319,-0.187857775958885,0.051450043927547,-0.212826209438641,-0.0483889471381468,-0.160872019181664,0.154674250562844,0.032337305309165,0.0346652897577108,-0.193284702825286,0.177094719282453,0.198586597219097,-0.0365426438703001,-0.159655010594876,0.0643850188851019,-0.121932967741792,0.103573824888149,0.0640768123624476,0.15764308823363,0.105724426410468,-0.101064211680614,-0.188405024580416,0.0838423520668103,-0.0497007950387934,0.205320914755882,0.0287415438054859,-0.152903610879623,0.0967478224505742,-0.00512532805856649,-0.0615091754192991,-0.0328618387619748,0.187574128227678,0.105194971430536,0.0942025933391013,-0.0495571337636057,0.122019464769732,0.106789633246462,0.12841091073684,0.164081197357046,-0.129625600975857,-0.165807778042673,0.175843677162804,-0.00476958836990593,-0.130732810364804,0.176494932492947,-0.211668921690861,-0.189205360498248,0.0608756067019673,0.166274979708621,0.168021264144894,0.0737051111425298,0.118275042220491,-0.0349652979469692,-0.167753920275231,0.132176489983452,-0.00464975287656535,0.151275539028906,0.132861992408015,0.192429443390186,0.0202277545204783,-0.132243332990865,-0.0870637400345449,-0.0881783458066243,0.210324709019838,-0.0200282036147445,0.0380750951257946,0.221229714935671,0.22022020762367,0.048675941982352,-0.211587851392627,0.0246342683807868,-0.0306539718703908,-0.1451107212555,0.18044618159204,-0.0592267096882885,0.142813805254395,-0.0856371191580589,-0.0079973933743655,-0.184760236783185,-0.150696786049924,-0.123182910620089,0.0930822801959545,0.203977601830912
"X6",-0.189567396802682,0.189242350995765,0.124086080356279,0.126111265631899,-0.0661461076705717,0.0262382495160308,-0.101840623684196,-0.11523406046011,-0.211292165699279,0.114691686432851,0.0695511596486302,-0.163045562279499,0.172911038708528,-0.0286811980534277,0.0472709019554399,-0.186811349534014,0.0501389120454506,-0.210233707710768,-0.0474367052737961,-0.161016720468438,0.150706482705966,0.0299498411653834,0.0348048504985694,-0.191452532793206,0.173206304715993,0.195131699065582,-0.0360457022565008,-0.156507276630032,0.0652159281526496,-0.12186276360094,0.103668475226328,0.0553948366730568,0.155492882986797,0.100626480250129,-0.0994874831065959,-0.185320259040296,0.0797677240434783,-0.0471056928383648,0.199244707640813,0.0307100189124963,-0.152932042097295,0.0932817684281153,-0.0076989107707688,-0.0648577237863386,-0.0373748037051774,0.182123917600952,0.102625216694727,0.0936183179542695,-0.0507754267152365,0.11594714057711,0.106456945100643,0.12488118049139,0.162084851547105,-0.12766466022876,-0.164096511206394,0.173375857402822,-0.00996665311757145,-0.127961418332439,0.173904661350385,-0.209016539134356,-0.187124525855087,0.0606932141350367,0.157887033856752,0.165134734736334,0.0742905483775164,0.112407828925595,-0.0324735117015908,-0.165940540165461,0.129695322965901,-0.00736783022076965,0.150027784701274,0.132138739648722,0.189466335952835,0.0203423207157869,-0.132595682538376,-0.0844482530172443,-0.0911477581780722,0.205410233617251,-0.0206074527710918,0.0391030735536764,0.215888596928075,0.213488597367856,0.0431457089803223,-0.207673937672385,0.0208013230735797,-0.0331432462482275,-0.145682702672004,0.173718086426869,-0.0563808974785723,0.138204234566451,-0.0862206789429139,-0.00682211697760412,-0.183620162051819,-0.150170175839488,-0.122550288169861,0.0867171098880346,0.199949641098006
"X7",-0.183886934111473,0.183416636072745,0.118082887709781,0.124904042957308,-0.0683426149220093,0.0279998998687556,-0.103076083929088,-0.113542703419031,-0.207022433997112,0.112914491731939,0.0678502479339258,-0.16088215444093,0.168063830229355,-0.0297469360394295,0.0428762166485799,-0.184937825733686,0.0489108495813682,-0.206336645577223,-0.0455006589241997,-0.160693946445061,0.146024055617327,0.0273316724086767,0.0356183431566316,-0.188228689012415,0.168793457475529,0.191135973009249,-0.0344954431442647,-0.15098218615062,0.0669867037728384,-0.121526442289471,0.10409605920984,0.046884797119764,0.153142385097851,0.0944682793679766,-0.0968257079918986,-0.180498681534358,0.0750110084763916,-0.0427877581504519,0.192345116958538,0.0338192072999037,-0.152584430520452,0.0892290815966462,-0.0107076251164735,-0.0679334984155194,-0.0423164497837826,0.17561227056065,0.0997548935902646,0.0932698789170408,-0.0520742150535152,0.108613310845124,0.106547342349708,0.121331563627779,0.159984863459618,-0.1243518916226,-0.160850708618265,0.170561321548363,-0.0157532209165204,-0.123549373887135,0.170979515361488,-0.205211958517722,-0.184062557634315,0.0610285664975008,0.148320039602977,0.161948438657164,0.0753799593160031,0.106237451335991,-0.0284544579467152,-0.163178206431798,0.126934120264498,-0.00981195154720986,0.148789558977486,0.131562293986191,0.18603937242434,0.0211451592874336,-0.132806778069909,-0.0804625671575333,-0.0941740203441094,0.199534880256331,-0.0205920627104506,0.0408692284229847,0.209469937942819,0.205557712311962,0.0366291590334767,-0.201956753404894,0.0162294909020263,-0.0360817113084414,-0.145578367672877,0.165909574348032,-0.0521385123879164,0.132748141709384,-0.0867273766192913,-0.00466548235449706,-0.181727171995856,-0.149232723795775,-0.120950831577569,0.0794867003955922,0.195244085575289
"X8",-0.17688509007407,0.176974909,0.111386872597803,0.123750015584048,-0.0707534436280324,0.0304505369327412,-0.104389360117743,-0.111161739891932,-0.201772237483668,0.111308595341051,0.0662731838063548,-0.157986438340968,0.162819623031835,-0.0307566872402304,0.0379694738094418,-0.18249258414722,0.0477525078743447,-0.201537931700702,-0.0428818156551778,-0.160069494019174,0.140858685561196,0.0245437144100905,0.0369873172041005,-0.184037774002587,0.164016959296331,0.186775094096663,-0.0322555017788878,-0.143840902886786,0.0694397178369658,-0.121013710260553,0.104797743057063,0.0382096675534372,0.150691505104566,0.0875780764743642,-0.0934408761274238,-0.174480735883357,0.0698084327420264,-0.0372485726982746,0.184878677495318,0.0377455228783496,-0.151999062325018,0.0847885914516294,-0.0140212831243293,-0.0708650398013561,-0.0476019318556165,0.168374163565212,0.0966729886049688,0.0931120102786109,-0.0534425169666864,0.100457588983055,0.106970412057346,0.117761816939595,0.157840763094643,-0.120060115859981,-0.156523393745787,0.167541243544621,-0.0219789185457249,-0.117999268646515,0.167861288046092,-0.200632278494285,-0.180312384928041,0.0617310450491617,0.137889720734977,0.158545232400494,0.0768579766505743,0.0998326476904826,-0.0233396022365372,-0.159720132270454,0.124002150733775,-0.0120969315036992,0.147591142667647,0.131122629177132,0.182317983554557,0.0224414948743768,-0.132937458769912,-0.0754828732847882,-0.0972912705614064,0.193009370589536,-0.0201614365405766,0.0431834802425381,0.202356303378385,0.196819532267811,0.0294210702650344,-0.194981637815292,0.0111459877428671,-0.0393382247482266,-0.145030149980267,0.157342958193368,-0.0468960678867072,0.126715873601174,-0.08719949705363,-0.00179302525114151,-0.179313817662017,-0.148028774417306,-0.118739693784301,0.0716028946902233,0.190082946583918
"X9",-0.168827306233946,0.170045923479165,0.104192782411532,0.122623827674373,-0.0733238030872048,0.0335323711532724,-0.105764251877453,-0.10832539505322,-0.195763778961246,0.109882961302487,0.0647485816573517,-0.154581602279202,0.157282948168533,-0.0316979303882909,0.0326874872735867,-0.179629115908131,0.0466697502452595,-0.1960462269273,-0.0397807296221482,-0.159222116015067,0.13534630215154,0.0216473850040484,0.0387959975773366,-0.179133420291113,0.158977621224903,0.182112710115198,-0.0294776727185607,-0.135584481824405,0.0724328367381178,-0.120359644962259,0.10573281569497,0.0280606028146496,0.148158789697512,0.0801448067444173,-0.0894762649127345,-0.167556502524682,0.064258145732319,-0.0306543687102699,0.176964660972716,0.0423352057547591,-0.151257853117977,0.0800991825550935,-0.0175476353827729,-0.073796740610009,-0.0531661472566388,0.160614819013246,0.0934654219655478,0.0930899568736666,-0.0548621040120738,0.0917000742414441,0.107667377100319,0.114076998652638,0.155679182103104,-0.115021680101946,-0.151436641096369,0.164381482960407,-0.0285792900204814,-0.111590891663722,0.164615091620812,-0.195460860449732,-0.176029863107191,0.0627105401019699,0.126676531447169,0.154963457207271,0.0786566331446158,0.093162155455312,-0.017386888521815,-0.155695475785209,0.120992357425046,-0.014318738150424,0.146441950019896,0.130804095410447,0.178393951562144,0.024066512723233,-0.133006327632509,-0.0697371818678718,-0.10054694072168,0.18599234424934,-0.0194438166858611,0.0459268537887279,0.194756834225769,0.187429961929029,0.0216794569925016,-0.1869367559404,0.00569003653072975,-0.0428323610844049,-0.144225368112529,0.148159270741983,-0.0408199269609001,0.120257166275953,-0.0876384191194156,0.00161810695571483,-0.176504378775872,-0.146618099448158,-0.116112219339845,0.0631598735874956,0.184597322107132
